Year,Month,Visitors,Average high temperature,Average low temperature,Average temperature,extra vacation
2007,1,115535.637971986 ,80.9,68.8,74.85,2
2007,2,100557.699453764 ,80.2,66.7,73.45,1
2007,3,95819.476699908 ,80.5,67.9,74.2,0
2007,4,52189.873049888 ,83.6,69.7,76.65,1
2007,5,35086.820415395 ,85,71.6,78.3,0
2007,6,26549.113929316 ,87.3,74.1,80.7,1
2007,7,32061.734504155 ,88,75.2,81.6,0
2007,8,45759.365659674 ,88.3,75.8,82.05,0
2007,9,33578.444760842 ,88.2,74.9,81.55,1
2007,10,49379.971594742 ,86.3,74,80.15,1
2007,11,71148.878804671 ,82.7,70.5,76.6,2
2007,12,99489.112121009 ,80,71.1,75.55,2
2008,1,128355.836932748 ,79.5,67.6,73.55,2
2008,2,102351.494290473 ,81,68.4,74.7,1
2008,3,92430.235661748 ,83.8,70.7,77.25,0
2008,4,62235.135052138 ,83.7,70.7,77.2,1
2008,5,34983.717782479 ,85.5,72.9,79.2,0
2008,6,20176.203754933 ,86.8,74.1,80.45,1
2008,7,37818.233221623 ,88.9,75.5,82.2,0
2008,8,41187.780993194 ,88.4,74.8,81.6,0
2008,9,27021.600839968 ,87.4,73.5,80.45,1
2008,10,47568.780862527 ,85.6,73.7,79.65,1
2008,11,53328.385086065 ,83.2,71.3,77.25,2
2008,12,83147.442611368 ,83.2,71.3,77.25,2
2009,1,80612.680963816 ,66.9,52.7,59.8,2
2009,2,90106.632384756 ,66.9,51.4,59.15,1
2009,3,94260.668322982 ,66.7,52.2,59.45,0
2009,4,78458.957901333 ,68.2,53.5,60.85,1
2009,5,27109.524284153 ,70.2,56.7,63.45,0
2009,6,22234.370099011 ,73.9,51.8,62.85,1
2009,7,34739.520504594 ,74.5,58.8,66.65,0
2009,8,34395.200043917 ,76.2,58.9,67.55,0
2009,9,27316.262401509 ,75.6,58,66.8,1
2009,10,45205.809188998 ,75.1,59.8,67.45,1
2009,11,48691.649049431 ,72.5,56.1,64.3,2
2009,12,88088.446804632 ,70.1,53.7,61.9,2
2010,1,98526.666313819 ,69.2,54,61.6,2
2010,2,94881.380662414 ,68,51.7,59.85,1
2010,3,94709.100477888 ,69.1,52.6,60.85,0
2010,4,67928.552378707 ,69.7,53.4,61.55,1
2010,5,31986.747178590 ,71.6,55.4,63.5,0
2010,6,23207.256545816 ,73.3,56,64.65,1
2010,7,36564.803854314 ,74.2,56.5,65.35,0
2010,8,42895.847397577 ,74.3,56.7,65.5,0
2010,9,27070.655344527 ,74.3,56.7,65.5,1
2010,10,52033.638412733 ,74,57,65.5,1
2010,11,66699.618735649 ,72.1,55.9,64,2
2010,12,114870.196907906 ,70,55.4,62.7,2
2011,1,121196.421606209 ,67.8,53.1,60.45,2
2011,2,122440.594368271 ,68.2,54.7,61.45,1
2011,3,124448.574185103 ,69.8,54.5,62.15,0
2011,4,82017.898557502 ,69.7,55.3,62.5,1
2011,5,36920.351493258 ,71.5,56.6,64.05,0
2011,6,26005.063446150 ,72.1,56.4,64.25,1
2011,7,45224.104492988 ,73.6,56.5,65.05,0
2011,8,47038.293970667 ,74.6,57.1,65.85,0
2011,9,39082.115067111 ,74.2,56.7,65.45,1
2011,10,52288.449798271 ,72.9,56.2,64.55,1
2011,11,64181.649959593 ,71,55.5,63.25,2
2011,12,116187.575105802 ,69.4,53.6,61.5,2
2012,1,126654.743044340 ,69.8,53.4,61.6,2
2012,2,138145.058086843 ,65.9,50.6,58.25,1
2012,3,126859.975954885 ,68.8,53,60.9,0
2012,4,87254.713067696 ,69.6,53.3,61.45,1
2012,5,37838.934440678 ,71.4,54.1,62.75,0
2012,6,29703.831744019 ,71.5,55.5,63.5,1
2012,7,55799.252514069 ,72.6,56.2,64.4,0
2012,8,63690.828178896 ,74.5,57.2,65.85,0
2012,9,38378.341383780 ,72.2,56.5,64.4,1
2012,10,57624.754300552 ,73.2,57,65.1,1
2012,11,82026.800081675 ,71.8,54.7,63.25,2
2012,12,118760.326873389 ,70.5,54.6,62.55,2
2013,1,135635.777342636 ,68.6,52.8,60.7,2
2013,2,137804.826134052 ,68.8,50.3,59.55,1
