Year,Month,Visitors,Average high temperature,Average low temperature,Average temperature,extra vacation
2007,1,165998.916992212 ,80.9,68.8,74.85,2
2007,2,158890.314377447 ,80.2,66.7,73.45,1
2007,3,176458.758082590 ,80.5,67.9,74.2,0
2007,4,148281.702522202 ,83.6,69.7,76.65,1
2007,5,142660.426072900 ,85,71.6,78.3,0
2007,6,157050.030262487 ,87.3,74.1,80.7,1
2007,7,196375.965764316 ,88,75.2,81.6,0
2007,8,206593.431095625 ,88.3,75.8,82.05,0
2007,9,171216.000259083 ,88.2,74.9,81.55,1
2007,10,145832.822153539 ,86.3,74,80.15,1
2007,11,153698.562345427 ,82.7,70.5,76.6,2
2007,12,167109.628131888 ,80,71.1,75.55,2
2008,1,168294.749011314 ,79.5,67.6,73.55,2
2008,2,140660.806971253 ,81,68.4,74.7,1
2008,3,157571.579061948 ,83.8,70.7,77.25,0
2008,4,116371.236191044 ,83.7,70.7,77.2,1
2008,5,130904.049890722 ,85.5,72.9,79.2,0
2008,6,141022.759901133 ,86.8,74.1,80.45,1
2008,7,135823.189848542 ,88.9,75.5,82.2,0
2008,8,185219.761856750 ,88.4,74.8,81.6,0
2008,9,139114.223113383 ,87.4,73.5,80.45,1
2008,10,143391.179623018 ,85.6,73.7,79.65,1
2008,11,140166.065679263 ,83.2,71.3,77.25,2
2008,12,148472.714892953 ,83.2,71.3,77.25,2
2009,1,139960.936129341 ,66.9,52.7,59.8,2
2009,2,137123.400821116 ,66.9,51.4,59.15,1
2009,3,161945.659723089 ,66.7,52.2,59.45,0
2009,4,128810.461240329 ,68.2,53.5,60.85,1
2009,5,128527.625530188 ,70.2,56.7,63.45,0
2009,6,109445.389788933 ,73.9,51.8,62.85,1
2009,7,131270.575194844 ,74.5,58.8,66.65,0
2009,8,141380.236273839 ,76.2,58.9,67.55,0
2009,9,148118.376144674 ,75.6,58,66.8,1
2009,10,147484.658212266 ,75.1,59.8,67.45,1
2009,11,130906.940101903 ,72.5,56.1,64.3,2
2009,12,142478.786357743 ,70.1,53.7,61.9,2
2010,1,149953.358132152 ,69.2,54,61.6,2
2010,2,150102.377823476 ,68,51.7,59.85,1
2010,3,152060.317050211 ,69.1,52.6,60.85,0
2010,4,122847.936081437 ,69.7,53.4,61.55,1
2010,5,141872.116833991 ,71.6,55.4,63.5,0
2010,6,176244.354790540 ,73.3,56,64.65,1
2010,7,170905.348285555 ,74.2,56.5,65.35,0
2010,8,196481.796050767 ,74.3,56.7,65.5,0
2010,9,187763.687874008 ,74.3,56.7,65.5,1
2010,10,156092.734816315 ,74,57,65.5,1
2010,11,133134.399363564 ,72.1,55.9,64,2
2010,12,134901.056814019 ,70,55.4,62.7,2
2011,1,138495.228266215 ,67.8,53.1,60.45,2
2011,2,146732.952984632 ,68.2,54.7,61.45,1
2011,3,136673.524050177 ,69.8,54.5,62.15,0
2011,4,75587.435662867 ,69.7,55.3,62.5,1
2011,5,109170.061315583 ,71.5,56.6,64.05,0
2011,6,123584.678899232 ,72.1,56.4,64.25,1
2011,7,150073.459325702 ,73.6,56.5,65.05,0
2011,8,187538.164728590 ,74.6,57.1,65.85,0
2011,9,172359.344703607 ,74.2,56.7,65.45,1
2011,10,134358.836126066 ,72.9,56.2,64.55,1
2011,11,133722.563728393 ,71,55.5,63.25,2
2011,12,144200.268428670 ,69.4,53.6,61.5,2
2012,1,156447.818379458 ,69.8,53.4,61.6,2
2012,2,164432.830048661 ,65.9,50.6,58.25,1
2012,3,171931.191085226 ,68.8,53,60.9,0
2012,4,126614.410447641 ,69.6,53.3,61.45,1
2012,5,139032.121241430 ,71.4,54.1,62.75,0
2012,6,149092.680382554 ,71.5,55.5,63.5,1
2012,7,192363.897180327 ,72.6,56.2,64.4,0
2012,8,206545.687644668 ,74.5,57.2,65.85,0
2012,9,186397.916139411 ,72.2,56.5,64.4,1
2012,10,175304.027992571 ,73.2,57,65.1,1
2012,11,192465.894233278 ,71.8,54.7,63.25,2
2012,12,169460.118395087 ,70.5,54.6,62.55,2
2013,1,164654.703279987 ,68.6,52.8,60.7,2
2013,2,180467.077378290 ,68.8,50.3,59.55,1
2013,3,166892.801175039 ,67.7,51.3,59.5,0
2013,4,135892.010704661 ,67.6,51.9,59.75,1
2013,5,143046.643794466 ,71.1,56.3,63.7,0
2013,6,194195.422322513 ,70.2,54.8,62.5,1
2013,7,193380.622549188 ,74.4,57.9,66.15,0
2013,8,228161.784153878 ,74.9,57,65.95,0
2013,9,182524.837049390 ,75.6,58.2,66.9,1
2013,10,148612.818086232 ,73.2,58.1,65.65,1
2013,11,121855.781674411 ,62.2,49,55.6,2
2013,12,131490.089931845 ,63.4,49.7,56.55,2
2014,1,174664.771231973 ,67.4,52.7,60.05,2
2014,2,127099.845108850 ,69.3,55.4,62.35,1
2014,3,143448.680119395 ,68.9,54,61.45,0
2014,4,119339.755785804 ,70.6,54.3,62.45,1
2014,5,118743.196818963 ,71.1,56.3,63.7,0
2014,6,150710.514862551 ,71.3,54.4,62.85,1
2014,7,144906.887028517 ,75.2,58.4,66.8,0
2014,8,174510.811201943 ,76.4,58.4,67.4,0
2014,9,144933.951331920 ,65.6,51.6,58.6,1
2014,10,152298.264347176 ,74.2,59.4,66.8,1
2014,11,125568.166324521 ,71.9,56.5,64.2,2
2014,12,138611.847783660 ,67.9,51,59.45,2
2015,1,113218.743701829 ,62.9,48.2,55.55,2
2015,2,113572.716867971 ,68.8,53.9,61.35,1
2015,3,115220.571042109 ,68,52.5,60.25,0
2015,4,88050.527665866 ,72.2,55,63.6,1
2015,5,93659.230602462 ,65.6,51.5,58.55,0
2015,6,131875.275988298 ,73.1,55.5,64.3,1
2015,7,140919.547121677 ,75.5,60.3,67.9,0
2015,8,139049.119023458 ,77,62.9,69.95,0
2015,9,133666.952725298 ,73.4,60.4,66.9,1
2015,10,125183.731473813 ,75.3,59.5,67.4,1
2015,11,120762.542099208 ,71.6,56.2,63.9,2
2015,12,110026.416979347 ,50.1,38.7,44.4,2
