Year,Month,Visitors,Average high temperature,Average low temperature,Average temperature,extra vacation
2007,1,454358.799281603 ,80.9,68.8,74.85,2
2007,2,438610.616861310 ,80.2,66.7,73.45,1
2007,3,541977.791730723 ,80.5,67.9,74.2,0
2007,4,384254.731050553 ,83.6,69.7,76.65,1
2007,5,419105.748983749 ,85,71.6,78.3,0
2007,6,553637.255328835 ,87.3,74.1,80.7,1
2007,7,518652.261514231 ,88,75.2,81.6,0
2007,8,436454.396234815 ,88.3,75.8,82.05,0
2007,9,362867.853877504 ,88.2,74.9,81.55,1
2007,10,383207.285580569 ,86.3,74,80.15,1
2007,11,318566.536248403 ,82.7,70.5,76.6,2
2007,12,401960.515909849 ,80,71.1,75.55,2
2008,1,445038.553543684 ,79.5,67.6,73.55,2
2008,2,408363.495814880 ,81,68.4,74.7,1
2008,3,416206.721851695 ,83.8,70.7,77.25,0
2008,4,304105.135407744 ,83.7,70.7,77.2,1
2008,5,334853.254716915 ,85.5,72.9,79.2,0
2008,6,399626.918327760 ,86.8,74.1,80.45,1
2008,7,385090.588833443 ,88.9,75.5,82.2,0
2008,8,334420.822270316 ,88.4,74.8,81.6,0
2008,9,217328.951481931 ,87.4,73.5,80.45,1
2008,10,286824.410005984 ,85.6,73.7,79.65,1
2008,11,216574.309589923 ,83.2,71.3,77.25,2
2008,12,280639.357554425 ,83.2,71.3,77.25,2
2009,1,314817.235066980 ,66.9,52.7,59.8,2
2009,2,309753.126900872 ,66.9,51.4,59.15,1
2009,3,291286.540183280 ,66.7,52.2,59.45,0
2009,4,323885.781930280 ,68.2,53.5,60.85,1
2009,5,274974.714840216 ,70.2,56.7,63.45,0
2009,6,357898.747292772 ,73.9,51.8,62.85,1
2009,7,374803.055378095 ,74.5,58.8,66.65,0
2009,8,311670.478891259 ,76.2,58.9,67.55,0
2009,9,233588.150532049 ,75.6,58,66.8,1
2009,10,251959.586211913 ,75.1,59.8,67.45,1
2009,11,197584.151330767 ,72.5,56.1,64.3,2
2009,12,285116.841819432 ,70.1,53.7,61.9,2
2010,1,302845.930176343 ,69.2,54,61.6,2
2010,2,291333.598393240 ,68,51.7,59.85,1
2010,3,306508.228486457 ,69.1,52.6,60.85,0
2010,4,290902.306296958 ,69.7,53.4,61.55,1
2010,5,266481.347321329 ,71.6,55.4,63.5,0
2010,6,368414.736842105 ,73.3,56,64.65,1
2010,7,415875.784934498 ,74.2,56.5,65.35,0
2010,8,293941.683168317 ,74.3,56.7,65.5,0
2010,9,221673.870249791 ,74.3,56.7,65.5,1
2010,10,267341.459160779 ,74,57,65.5,1
2010,11,206690.000000000 ,72.1,55.9,64,2
2010,12,298640.508987011 ,70,55.4,62.7,2
2011,1,345995.117086753 ,67.8,53.1,60.45,2
2011,2,322808.600955665 ,68.2,54.7,61.45,1
2011,3,340622.161076017 ,69.8,54.5,62.15,0
2011,4,268497.153549405 ,69.7,55.3,62.5,1
2011,5,271237.720287544 ,71.5,56.6,64.05,0
2011,6,367275.316094856 ,72.1,56.4,64.25,1
2011,7,404589.723211882 ,73.6,56.5,65.05,0
2011,8,279824.102289092 ,74.6,57.1,65.85,0
2011,9,246013.701582761 ,74.2,56.7,65.45,1
2011,10,264702.497566880 ,72.9,56.2,64.55,1
2011,11,216808.171957936 ,71,55.5,63.25,2
2011,12,333179.463462672 ,69.4,53.6,61.5,2
2012,1,345537.700957391 ,69.8,53.4,61.6,2
2012,2,343331.656024452 ,65.9,50.6,58.25,1
2012,3,348322.861578100 ,68.8,53,60.9,0
2012,4,262562.456543401 ,69.6,53.3,61.45,1
2012,5,290411.889211275 ,71.4,54.1,62.75,0
2012,6,391415.890503527 ,71.5,55.5,63.5,1
2012,7,381956.931064830 ,72.6,56.2,64.4,0
2012,8,339246.092120783 ,74.5,57.2,65.85,0
2012,9,231001.509426767 ,72.2,56.5,64.4,1
2012,10,285963.726427699 ,73.2,57,65.1,1
2012,11,248386.002019808 ,71.8,54.7,63.25,2
2012,12,332087.056326274 ,70.5,54.6,62.55,2
2013,1,391593.945605235 ,68.6,52.8,60.7,2
2013,2,338853.705540649 ,68.8,50.3,59.55,1
2013,3,354965.708775987 ,67.7,51.3,59.5,0
2013,4,260926.900586552 ,67.6,51.9,59.75,1
2013,5,313124.977269269 ,71.1,56.3,63.7,0
2013,6,396686.076724010 ,70.2,54.8,62.5,1
2013,7,409062.767266082 ,74.4,57.9,66.15,0
2013,8,326709.033800394 ,74.9,57,65.95,0
2013,9,234056.116845102 ,75.6,58.2,66.9,1
2013,10,272424.082885436 ,73.2,58.1,65.65,1
2013,11,220275.879048339 ,62.2,49,55.6,2
2013,12,318761.059296939 ,63.4,49.7,56.55,2
2014,1,350816.385436947 ,67.4,52.7,60.05,2
2014,2,337498.908266299 ,69.3,55.4,62.35,1
2014,3,360465.498475954 ,68.9,54,61.45,0
2014,4,275669.290624798 ,70.6,54.3,62.45,1
2014,5,320506.044015449 ,71.1,56.3,63.7,0
2014,6,388176.685899507 ,71.3,54.4,62.85,1
2014,7,431684.119540480 ,75.2,58.4,66.8,0
2014,8,336070.923140263 ,76.4,58.4,67.4,0
2014,9,242302.838527452 ,65.6,51.6,58.6,1
2014,10,301261.195687007 ,74.2,59.4,66.8,1
2014,11,234452.953875067 ,71.9,56.5,64.2,2
2014,12,341194.463377128 ,67.9,51,59.45,2
2015,1,360608.299700663 ,62.9,48.2,55.55,2
2015,2,325281.515315778 ,68.8,53.9,61.35,1
2015,3,360041.643201123 ,68,52.5,60.25,0
2015,4,291791.982112215 ,72.2,55,63.6,1
2015,5,329523.908935996 ,65.6,51.5,58.55,0
2015,6,424119.657100631 ,73.1,55.5,64.3,1
2015,7,439880.023221101 ,75.5,60.3,67.9,0
2015,8,322830.339090280 ,77,62.9,69.95,0
2015,9,237151.741419472 ,73.4,60.4,66.9,1
2015,10,295373.450788972 ,75.3,59.5,67.4,1
2015,11,231149.044706068 ,71.6,56.2,63.9,2
2015,12,369529.257982326 ,50.1,38.7,44.4,2
