Year,Month,Visitors,Average high temperature,Average low temperature,Average temperature,extra vacation
2007,1,499042.292861147 ,80.9,68.8,74.85,2
2007,2,518669.286462636 ,80.2,66.7,73.45,1
2007,3,611523.686743200 ,80.5,67.9,74.2,0
2007,4,590091.971783823 ,83.6,69.7,76.65,1
2007,5,487501.130825047 ,85,71.6,78.3,0
2007,6,622856.373605545 ,87.3,74.1,80.7,1
2007,7,658476.260376546 ,88,75.2,81.6,0
2007,8,714048.691785986 ,88.3,75.8,82.05,0
2007,9,445339.002878875 ,88.2,74.9,81.55,1
2007,10,486515.598239935 ,86.3,74,80.15,1
2007,11,520170.807269474 ,82.7,70.5,76.6,2
2007,12,624081.263169417 ,80,71.1,75.55,2
2008,1,495874.693565081 ,79.5,67.6,73.55,2
2008,2,479488.945498291 ,81,68.4,74.7,1
2008,3,552511.822069312 ,83.8,70.7,77.25,0
2008,4,447806.915871982 ,83.7,70.7,77.2,1
2008,5,409299.795906129 ,85.5,72.9,79.2,0
2008,6,449909.189164036 ,86.8,74.1,80.45,1
2008,7,465006.418913186 ,88.9,75.5,82.2,0
2008,8,468820.133791618 ,88.4,74.8,81.6,0
2008,9,290303.866869337 ,87.4,73.5,80.45,1
2008,10,363223.422928868 ,85.6,73.7,79.65,1
2008,11,411215.620137527 ,83.2,71.3,77.25,2
2008,12,428460.893134118 ,83.2,71.3,77.25,2
2009,1,396747.656420548 ,66.9,52.7,59.8,2
2009,2,406415.193361332 ,66.9,51.4,59.15,1
2009,3,427188.289330218 ,66.7,52.2,59.45,0
2009,4,419272.543293337 ,68.2,53.5,60.85,1
2009,5,403496.557550554 ,70.2,56.7,63.45,0
2009,6,477229.050080223 ,73.9,51.8,62.85,1
2009,7,508417.254420235 ,74.5,58.8,66.65,0
2009,8,462696.484811437 ,76.2,58.9,67.55,0
2009,9,327024.308868289 ,75.6,58,66.8,1
2009,10,371483.182630781 ,75.1,59.8,67.45,1
2009,11,401658.954016946 ,72.5,56.1,64.3,2
2009,12,458887.326877034 ,70.1,53.7,61.9,2
2010,1,397591.480588028 ,69.2,54,61.6,2
2010,2,385982.281561045 ,68,51.7,59.85,1
2010,3,431766.677474126 ,69.1,52.6,60.85,0
2010,4,465164.131213304 ,69.7,53.4,61.55,1
2010,5,409050.738886925 ,71.6,55.4,63.5,0
2010,6,473334.057971014 ,73.3,56,64.65,1
2010,7,502972.405321789 ,74.2,56.5,65.35,0
2010,8,489430.892857143 ,74.3,56.7,65.5,0
2010,9,352099.928924821 ,74.3,56.7,65.5,1
2010,10,438272.357244837 ,74,57,65.5,1
2010,11,462120.000000000 ,72.1,55.9,64,2
2010,12,469107.561995205 ,70,55.4,62.7,2
2011,1,447072.977009008 ,67.8,53.1,60.45,2
2011,2,443837.420967897 ,68.2,54.7,61.45,1
2011,3,481954.240386844 ,69.8,54.5,62.15,0
2011,4,507456.823110811 ,69.7,55.3,62.5,1
2011,5,414314.071624374 ,71.5,56.6,64.05,0
2011,6,471504.232454941 ,72.1,56.4,64.25,1
2011,7,496869.842762237 ,73.6,56.5,65.05,0
2011,8,481844.501071109 ,74.6,57.1,65.85,0
2011,9,371786.219944428 ,74.2,56.7,65.45,1
2011,10,407615.965037334 ,72.9,56.2,64.55,1
2011,11,448182.395925010 ,71,55.5,63.25,2
2011,12,504805.769591894 ,69.4,53.6,61.5,2
2012,1,468462.408055520 ,69.8,53.4,61.6,2
2012,2,445135.386483500 ,65.9,50.6,58.25,1
2012,3,520440.721514086 ,68.8,53,60.9,0
2012,4,502989.340848161 ,69.6,53.3,61.45,1
2012,5,438590.441235904 ,71.4,54.1,62.75,0
2012,6,488084.053617231 ,71.5,55.5,63.5,1
2012,7,521062.461374287 ,72.6,56.2,64.4,0
