Year,Month,total_vistors,Average high temperature,Average low temperature,Average temperature,extra vacation
2007,1,134865.112984576 ,80.9,68.8,74.85,2
2007,2,131441.531117133 ,80.2,66.7,73.45,1
2007,3,153422.574383522 ,80.5,67.9,74.2,0
2007,4,129772.309005404 ,83.6,69.7,76.65,1
2007,5,118484.803304126 ,85,71.6,78.3,0
2007,6,148340.652046481 ,87.3,74.1,80.7,1
2007,7,154011.985613227 ,88,75.2,81.6,0
2007,8,155515.080079905 ,88.3,75.8,82.05,0
2007,9,115044.740662483 ,88.2,74.9,81.55,1
2007,10,119994.676047103 ,86.3,74,80.15,1
2007,11,116888.250378704 ,82.7,70.5,76.6,2
2007,12,144577.017393204 ,80,71.1,75.55,2
2008,1,137445.182771402 ,79.5,67.6,73.55,2
2008,2,124384.947316891 ,81,68.4,74.7,1
2008,3,133389.411113831 ,83.8,70.7,77.25,0
2008,4,104210.463489123 ,83.7,70.7,77.2,1
2008,5,100950.529478011 ,85.5,72.9,79.2,0
2008,6,111764.615576210 ,86.8,74.1,80.45,1
2008,7,115432.755960216 ,88.9,75.5,82.2,0
2008,8,118467.382694133 ,88.4,74.8,81.6,0
2008,9,78608.430536026 ,87.4,73.5,80.45,1
2008,10,97220.143814061 ,85.6,73.7,79.65,1
2008,11,93414.387524704 ,83.2,71.3,77.25,2
2008,12,105988.117078770 ,83.2,71.3,77.25,2
2009,1,101898.232456941 ,66.9,52.7,59.8,2
2009,2,103047.920813015 ,66.9,51.4,59.15,1
2009,3,106030.547438096 ,66.7,52.2,59.45,0
2009,4,106778.684735516 ,68.2,53.5,60.85,1
2009,5,90979.732256264 ,70.2,56.7,63.45,0
2009,6,106731.893876074 ,73.9,51.8,62.85,1
2009,7,118502.081259518 ,74.5,58.8,66.65,0
2009,8,108078.554519603 ,76.2,58.9,67.55,0
2009,9,84792.877724043 ,75.6,58,66.8,1
2009,10,91767.976212239 ,75.1,59.8,67.45,1
2009,11,87234.994506336 ,72.5,56.1,64.3,2
2009,12,109412.627517216 ,70.1,53.7,61.9,2
2010,1,105202.757017352 ,69.2,54,61.6,2
2010,2,102227.429941842 ,68,51.7,59.85,1
2010,3,107397.976018072 ,69.1,52.6,60.85,0
2010,4,103510.906560219 ,69.7,53.4,61.55,1
2010,5,95241.116571607 ,71.6,55.4,63.5,0
2010,6,113319.860767621 ,73.3,56,64.65,1
2010,7,127504.808926397 ,74.2,56.5,65.35,0
2010,8,116669.075245827 ,74.3,56.7,65.5,0
2010,9,92392.724674880 ,74.3,56.7,65.5,1
2010,10,105329.047337847 ,74,57,65.5,1
2010,11,98028.834453797 ,72.1,55.9,64,2
2010,12,114408.499497366 ,70,55.4,62.7,2
2011,1,115037.322130200 ,67.8,53.1,60.45,2
2011,2,116585.582559435 ,68.2,54.7,61.45,1
2011,3,118908.406351773 ,69.8,54.5,62.15,0
2011,4,104550.758483934 ,69.7,55.3,62.5,1
2011,5,96718.022782398 ,71.5,56.6,64.05,0
2011,6,109698.918163709 ,72.1,56.4,64.25,1
2011,7,124426.623262284 ,73.6,56.5,65.05,0
2011,8,113767.001585226 ,74.6,57.1,65.85,0
2011,9,99006.776677902 ,74.2,56.7,65.45,1
2011,10,98886.093897449 ,72.9,56.2,64.55,1
2011,11,96967.258816931 ,71,55.5,63.25,2
2011,12,123757.686520101 ,69.4,53.6,61.5,2
2012,1,125590.249518238 ,69.8,53.4,61.6,2
2012,2,119627.602608665 ,65.9,50.6,58.25,1
2012,3,131682.392264985 ,68.8,53,60.9,0
2012,4,112910.679521170 ,69.6,53.3,61.45,1
2012,5,104380.964781037 ,71.4,54.1,62.75,0
2012,6,118149.359012939 ,71.5,55.5,63.5,1
2012,7,133257.040227510 ,72.6,56.2,64.4,0
2012,8,129441.404508406 ,74.5,57.2,65.85,0
2012,9,96284.400145020 ,72.2,56.5,64.4,1
2012,10,113416.729719388 ,73.2,57,65.1,1
2012,11,113244.001576845 ,71.8,54.7,63.25,2
2012,12,135296.953624123 ,70.5,54.6,62.55,2
2013,1,131257.460693609 ,68.6,52.8,60.7,2
2013,2,128212.011886647 ,68.8,50.3,59.55,1
2013,3,132519.964056353 ,67.7,51.3,59.5,0
2013,4,108188.415792321 ,67.6,51.9,59.75,1
2013,5,108411.039206334 ,71.1,56.3,63.7,0
2013,6,130936.384431388 ,70.2,54.8,62.5,1
2013,7,134859.314493702 ,74.4,57.9,66.15,0
2013,8,128282.461472416 ,74.9,57,65.95,0
2013,9,101935.705842023 ,75.6,58.2,66.9,1
2013,10,103929.862686666 ,73.2,58.1,65.65,1
2013,11,101943.089092018 ,62.2,49,55.6,2
2013,12,124769.417667708 ,63.4,49.7,56.55,2
2014,1,130058.627075886 ,67.4,52.7,60.05,2
2014,2,120946.838311736 ,69.3,55.4,62.35,1
2014,3,127774.391715053 ,68.9,54,61.45,0
2014,4,108428.827565601 ,70.6,54.3,62.45,1
2014,5,105567.647892962 ,71.1,56.3,63.7,0
2014,6,125991.365548737 ,71.3,54.4,62.85,1
2014,7,138897.402653689 ,75.2,58.4,66.8,0
2014,8,126507.553075546 ,76.4,58.4,67.4,0
2014,9,99756.557063417 ,65.6,51.6,58.6,1
2014,10,115513.457369594 ,74.2,59.4,66.8,1
2014,11,106789.792514930 ,71.9,56.5,64.2,2
2014,12,139953.270632994 ,67.9,51,59.45,2
2015,1,130712.661287089 ,62.9,48.2,55.55,2
2015,2,122491.105805420 ,68.8,53.9,61.35,1
