Year,Month,Vistors,Average high temperature,Average low temperature,Average temperature,extra vacation
2007,1,873322.415004227 ,80.9,68.8,74.85,2
2007,2,839479.343905734 ,80.2,66.7,73.45,1
2007,3,795222.299203530 ,80.5,67.9,74.2,0
2007,4,413661.042633535 ,83.6,69.7,76.65,1
2007,5,370975.466914066 ,85,71.6,78.3,0
2007,6,238558.585657905 ,87.3,74.1,80.7,1
2007,7,282611.794851219 ,88,75.2,81.6,0
2007,8,312643.221881684 ,88.3,75.8,82.05,0
2007,9,268197.326746829 ,88.2,74.9,81.55,1
2007,10,403324.208950000 ,86.3,74,80.15,1
2007,11,558868.278746987 ,82.7,70.5,76.6,2
2007,12,887910.561998396 ,80,71.1,75.55,2
2008,1,1013007.098114830 ,79.5,67.6,73.55,2
2008,2,726191.805729915 ,81,68.4,74.7,1
2008,3,517452.013008382 ,83.8,70.7,77.25,0
2008,4,451212.183756772 ,83.7,70.7,77.2,1
2008,5,360966.174068338 ,85.5,72.9,79.2,0
2008,6,133638.937826597 ,86.8,74.1,80.45,1
2008,7,238357.822866762 ,88.9,75.5,82.2,0
2008,8,256433.101557194 ,88.4,74.8,81.6,0
2008,9,180433.202516062 ,87.4,73.5,80.45,1
2008,10,330345.806871663 ,85.6,73.7,79.65,1
2008,11,376322.315597346 ,83.2,71.3,77.25,2
2008,12,551244.862365889 ,83.2,71.3,77.25,2
2009,1,508830.707673180 ,66.9,52.7,59.8,2
2009,2,536929.049641575 ,66.9,51.4,59.15,1
2009,3,519078.451389110 ,66.7,52.2,59.45,0
2009,4,471615.257471556 ,68.2,53.5,60.85,1
2009,5,236238.405284198 ,70.2,56.7,63.45,0
2009,6,173675.177468318 ,73.9,51.8,62.85,1
2009,7,246128.133678882 ,74.5,58.8,66.65,0
2009,8,236691.420692616 ,76.2,58.9,67.55,0
2009,9,210420.170644062 ,75.6,58,66.8,1
2009,10,342430.061039578 ,75.1,59.8,67.45,1
2009,11,341478.584694132 ,72.5,56.1,64.3,2
2009,12,640264.818901987 ,70.1,53.7,61.9,2
2010,1,646954.899940630 ,69.2,54,61.6,2
2010,2,745704.969705233 ,68,51.7,59.85,1
2010,3,636500.803901787 ,69.1,52.6,60.85,0
2010,4,528771.635256850 ,69.7,53.4,61.55,1
2010,5,287616.131729212 ,71.6,55.4,63.5,0
