Year,Month,Vistors,Average high temperature,Average low temperature,Average temperature,extra vacation
2007,1,292825.782607508 ,80.9,68.8,74.85,2
2007,2,322734.245854892 ,80.2,66.7,73.45,1
2007,3,391166.407920184 ,80.5,67.9,74.2,0
2007,4,187048.019451571 ,83.6,69.7,76.65,1
2007,5,201616.633869050 ,85,71.6,78.3,0
2007,6,240404.585684278 ,87.3,74.1,80.7,1
2007,7,286525.352702227 ,88,75.2,81.6,0
2007,8,478553.012822772 ,88.3,75.8,82.05,0
2007,9,234209.855521101 ,88.2,74.9,81.55,1
2007,10,299589.006154369 ,86.3,74,80.15,1
2007,11,186118.183519826 ,82.7,70.5,76.6,2
2007,12,319315.730329842 ,80,71.1,75.55,2
2008,1,265082.912866993 ,79.5,67.6,73.55,2
2008,2,201763.267185531 ,81,68.4,74.7,1
2008,3,240291.440147094 ,83.8,70.7,77.25,0
2008,4,158010.123723064 ,83.7,70.7,77.2,1
2008,5,162219.199583882 ,85.5,72.9,79.2,0
2008,6,262427.918752211 ,86.8,74.1,80.45,1
2008,7,371447.269003863 ,88.9,75.5,82.2,0
2008,8,214508.105899540 ,88.4,74.8,81.6,0
2008,9,179051.053585479 ,87.4,73.5,80.45,1
2008,10,149977.863747311 ,85.6,73.7,79.65,1
2008,11,194581.911382260 ,83.2,71.3,77.25,2
2008,12,217335.332467419 ,83.2,71.3,77.25,2
2009,1,160967.389767768 ,66.9,52.7,59.8,2
2009,2,201643.290899383 ,66.9,51.4,59.15,1
2009,3,245543.646014910 ,66.7,52.2,59.45,0
2009,4,144677.977914873 ,68.2,53.5,60.85,1
2009,5,165893.746910112 ,70.2,56.7,63.45,0
2009,6,113454.370028185 ,73.9,51.8,62.85,1
2009,7,129844.853760806 ,74.5,58.8,66.65,0
2009,8,159446.926609497 ,76.2,58.9,67.55,0
2009,9,228573.511162984 ,75.6,58,66.8,1
2009,10,143916.196208054 ,75.1,59.8,67.45,1
2009,11,117693.552201986 ,72.5,56.1,64.3,2
2009,12,277561.495576152 ,70.1,53.7,61.9,2
2010,1,141630.240601955 ,69.2,54,61.6,2
2010,2,184993.069542736 ,68,51.7,59.85,1
