Year,Month,Vistors,Average high temperature,Average low temperature,Average temperature,extra vacation
2007,1,390578.197558777 ,80.9,68.8,74.85,2
2007,2,366317.014632309 ,80.2,66.7,73.45,1
2007,3,426779.756122050 ,80.5,67.9,74.2,0
2007,4,357670.451874272 ,83.6,69.7,76.65,1
2007,5,403512.748867268 ,85,71.6,78.3,0
2007,6,483250.489269549 ,87.3,74.1,80.7,1
2007,7,461643.516362955 ,88,75.2,81.6,0
2007,8,383971.608175610 ,88.3,75.8,82.05,0
2007,9,367569.480244657 ,88.2,74.9,81.55,1
2007,10,348018.246942453 ,86.3,74,80.15,1
2007,11,282790.016913461 ,82.7,70.5,76.6,2
2007,12,341205.288997808 ,80,71.1,75.55,2
2008,1,360471.339082477 ,79.5,67.6,73.55,2
2008,2,345545.561990737 ,81,68.4,74.7,1
2008,3,331326.682577493 ,83.8,70.7,77.25,0
2008,4,272475.065144974 ,83.7,70.7,77.2,1
2008,5,302163.811833340 ,85.5,72.9,79.2,0
2008,6,357861.064556026 ,86.8,74.1,80.45,1
2008,7,341979.365371020 ,88.9,75.5,82.2,0
2008,8,285479.715443319 ,88.4,74.8,81.6,0
2008,9,231447.550223548 ,87.4,73.5,80.45,1
2008,10,257514.399048455 ,85.6,73.7,79.65,1
2008,11,201186.599160703 ,83.2,71.3,77.25,2
2008,12,227327.288614319 ,83.2,71.3,77.25,2
2009,1,271933.079573609 ,66.9,52.7,59.8,2
2009,2,264123.855383696 ,66.9,51.4,59.15,1
2009,3,249570.874467586 ,66.7,52.2,59.45,0
2009,4,230192.531125111 ,68.2,53.5,60.85,1
2009,5,271238.844678618 ,70.2,56.7,63.45,0
2009,6,303855.683028322 ,73.9,51.8,62.85,1
2009,7,313298.561158118 ,74.5,58.8,66.65,0
2009,8,263296.660790787 ,76.2,58.9,67.55,0
2009,9,242862.991672174 ,75.6,58,66.8,1
2009,10,244855.323999804 ,75.1,59.8,67.45,1
2009,11,182636.738556606 ,72.5,56.1,64.3,2
2009,12,231894.961910700 ,70.1,53.7,61.9,2
2010,1,271755.321656017 ,69.2,54,61.6,2
2010,2,246438.389923608 ,68,51.7,59.85,1
2010,3,265131.341382320 ,69.1,52.6,60.85,0
2010,4,231592.179140814 ,69.7,53.4,61.55,1
2010,5,250825.898692844 ,71.6,55.4,63.5,0
2010,6,326677.368421053 ,73.3,56,64.65,1
2010,7,356576.204054898 ,74.2,56.5,65.35,0
2010,8,261773.762376238 ,74.3,56.7,65.5,0
2010,9,233050.237305991 ,74.3,56.7,65.5,1
2010,10,247251.501881705 ,74,57,65.5,1
2010,11,192835.217391304 ,72.1,55.9,64,2
2010,12,252845.143243374 ,70,55.4,62.7,2
2011,1,281851.687583421 ,67.8,53.1,60.45,2
2011,2,284074.768400186 ,68.2,54.7,61.45,1
2011,3,288635.208966652 ,69.8,54.5,62.15,0
2011,4,231074.608949627 ,69.7,55.3,62.5,1
2011,5,248215.908550535 ,71.5,56.6,64.05,0
2011,6,314378.222947146 ,72.1,56.4,64.25,1
2011,7,343049.235311383 ,73.6,56.5,65.05,0
2011,8,253403.080279676 ,74.6,57.1,65.85,0
2011,9,246727.841583473 ,74.2,56.7,65.45,1
2011,10,244186.156375158 ,72.9,56.2,64.55,1
2011,11,195399.417595461 ,71,55.5,63.25,2
2011,12,269962.816010400 ,69.4,53.6,61.5,2
2012,1,303137.313584686 ,69.8,53.4,61.6,2
2012,2,282099.895357734 ,65.9,50.6,58.25,1
2012,3,306920.961254661 ,68.8,53,60.9,0
2012,4,243252.419234670 ,69.6,53.3,61.45,1
2012,5,270646.380029296 ,71.4,54.1,62.75,0
2012,6,365489.760985694 ,71.5,55.5,63.5,1
2012,7,331394.646045972 ,72.6,56.2,64.4,0
2012,8,291249.906828404 ,74.5,57.2,65.85,0
2012,9,250002.651883933 ,72.2,56.5,64.4,1
2012,10,245669.026439418 ,73.2,57,65.1,1
2012,11,223081.589778040 ,71.8,54.7,63.25,2
2012,12,274610.803458931 ,70.5,54.6,62.55,2
2013,1,328544.160099005 ,68.6,52.8,60.7,2
2013,2,291949.130691682 ,68.8,50.3,59.55,1
2013,3,286303.524637213 ,67.7,51.3,59.5,0
2013,4,242242.384704035 ,67.6,51.9,59.75,1
2013,5,290001.558500221 ,71.1,56.3,63.7,0
2013,6,338354.220490477 ,70.2,54.8,62.5,1
2013,7,342978.835150461 ,74.4,57.9,66.15,0
2013,8,302572.199727743 ,74.9,57,65.95,0
2013,9,243613.726134993 ,75.6,58.2,66.9,1
2013,10,260210.788891628 ,73.2,58.1,65.65,1
2013,11,210021.393816981 ,62.2,49,55.6,2
2013,12,270088.568857151 ,63.4,49.7,56.55,2
2014,1,323799.204211906 ,67.4,52.7,60.05,2
2014,2,283136.557226445 ,69.3,55.4,62.35,1
2014,3,295925.350663547 ,68.9,54,61.45,0
2014,4,249878.792955318 ,70.6,54.3,62.45,1
2014,5,297622.302641169 ,71.1,56.3,63.7,0
2014,6,341305.545537095 ,71.3,54.4,62.85,1
2014,7,355560.198131876 ,75.2,58.4,66.8,0
2014,8,289440.302794667 ,76.4,58.4,67.4,0
2014,9,234066.113485390 ,65.6,51.6,58.6,1
2014,10,254729.169488155 ,74.2,59.4,66.8,1
2014,11,203384.158905479 ,71.9,56.5,64.2,2
2014,12,288028.250007175 ,67.9,51,59.45,2
