Year,Month,total_vistors,Average high temperature,Average low temperature,Average temperature,extra vacation
2007,1,986240.336325347 ,80.9,68.8,74.85,2
2007,2,934911.282084193 ,80.2,66.7,73.45,1
2007,3,1120494.638179080 ,80.5,67.9,74.2,0
2007,4,1033465.014831920 ,83.6,69.7,76.65,1
2007,5,1064902.469390000 ,85,71.6,78.3,0
2007,6,1246374.115960460 ,87.3,74.1,80.7,1
2007,7,1293834.898154120 ,88,75.2,81.6,0
2007,8,1231849.398089860 ,88.3,75.8,82.05,0
2007,9,997188.425020314 ,88.2,74.9,81.55,1
2007,10,1013216.914846370 ,86.3,74,80.15,1
2007,11,938851.419899875 ,82.7,70.5,76.6,2
2007,12,1129120.616383260 ,80,71.1,75.55,2
2008,1,946642.153532321 ,79.5,67.6,73.55,2
2008,2,902359.426396294 ,81,68.4,74.7,1
2008,3,986791.509894209 ,83.8,70.7,77.25,0
2008,4,832268.979747914 ,83.7,70.7,77.2,1
2008,5,875834.781976681 ,85.5,72.9,79.2,0
2008,6,960174.631679726 ,86.8,74.1,80.45,1
2008,7,1000295.310612420 ,88.9,75.5,82.2,0
2008,8,914513.768701967 ,88.4,74.8,81.6,0
2008,9,704192.063505125 ,87.4,73.5,80.45,1
2008,10,749850.567986839 ,85.6,73.7,79.65,1
2008,11,678701.750478706 ,83.2,71.3,77.25,2
2008,12,754847.014910435 ,83.2,71.3,77.25,2
2009,1,708603.024181407 ,66.9,52.7,59.8,2
2009,2,715320.008210117 ,66.9,51.4,59.15,1
2009,3,730107.245424342 ,66.7,52.2,59.45,0
2009,4,760535.468198992 ,68.2,53.5,60.85,1
2009,5,818485.016961881 ,70.2,56.7,63.45,0
2009,6,877191.090819751 ,73.9,51.8,62.85,1
2009,7,954221.727420250 ,74.5,58.8,66.65,0
2009,8,863171.181611619 ,76.2,58.9,67.55,0
2009,9,715008.590731454 ,75.6,58,66.8,1
2009,10,731918.001871318 ,75.1,59.8,67.45,1
2009,11,627685.713182299 ,72.5,56.1,64.3,2
2009,12,778874.348355514 ,70.1,53.7,61.9,2
2010,1,710485.212379865 ,69.2,54,61.6,2
2010,2,697808.059653864 ,68,51.7,59.85,1
2010,3,798583.649652115 ,69.1,52.6,60.85,0
2010,4,765084.678939857 ,69.7,53.4,61.55,1
2010,5,776997.109562195 ,71.6,55.4,63.5,0
2010,6,898009.144641504 ,73.3,56,64.65,1
2010,7,1008338.195454150 ,74.2,56.5,65.35,0
2010,8,864657.455595186 ,74.3,56.7,65.5,0
2010,9,736457.389964525 ,74.3,56.7,65.5,1
2010,10,793322.644286175 ,74,57,65.5,1
2010,11,691797.154957883 ,72.1,55.9,64,2
2010,12,809576.729611984 ,70,55.4,62.7,2
2011,1,755824.421595772 ,67.8,53.1,60.45,2
2011,2,768190.249598609 ,68.2,54.7,61.45,1
2011,3,822608.318160358 ,69.8,54.5,62.15,0
2011,4,837498.596588615 ,69.7,55.3,62.5,1
2011,5,820919.310118454 ,71.5,56.6,64.05,0
2011,6,925048.282910055 ,72.1,56.4,64.25,1
2011,7,1024437.699278330 ,73.6,56.5,65.05,0
2011,8,892280.613885764 ,74.6,57.1,65.85,0
2011,9,813864.044501850 ,74.2,56.7,65.45,1
2011,10,816456.829165939 ,72.9,56.2,64.55,1
2011,11,728795.812862608 ,71,55.5,63.25,2
2011,12,909071.260827546 ,69.4,53.6,61.5,2
2012,1,833001.757920461 ,69.8,53.4,61.6,2
2012,2,816177.531282878 ,65.9,50.6,58.25,1
2012,3,935302.413441274 ,68.8,53,60.9,0
2012,4,869656.652833319 ,69.6,53.3,61.45,1
2012,5,851735.878674710 ,71.4,54.1,62.75,0
2012,6,1019049.866640090 ,71.5,55.5,63.5,1
2012,7,1034439.322367150 ,72.6,56.2,64.4,0
2012,8,1005026.627122040 ,74.5,57.2,65.85,0
2012,9,837430.656364814 ,72.2,56.5,64.4,1
2012,10,844348.560324666 ,73.2,57,65.1,1
2012,11,829369.946383193 ,71.8,54.7,63.25,2
2012,12,971270.560671703 ,70.5,54.6,62.55,2
2013,1,920936.674068776 ,68.6,52.8,60.7,2
2013,2,885622.808719849 ,68.8,50.3,59.55,1
2013,3,946975.401236735 ,67.7,51.3,59.5,0
2013,4,876426.276441028 ,67.6,51.9,59.75,1
2013,5,903822.808179070 ,71.1,56.3,63.7,0
2013,6,1055460.688850900 ,70.2,54.8,62.5,1
2013,7,1088421.940566340 ,74.4,57.9,66.15,0
2013,8,1020125.943187490 ,74.9,57,65.95,0
2013,9,840740.179915749 ,75.6,58.2,66.9,1
2013,10,868803.329821538 ,73.2,58.1,65.65,1
2013,11,819613.002319142 ,62.2,49,55.6,2
2013,12,916593.404606769 ,63.4,49.7,56.55,2
2014,1,911614.735527326 ,67.4,52.7,60.05,2
2014,2,824295.047432560 ,69.3,55.4,62.35,1
2014,3,929529.199635289 ,68.9,54,61.45,0
2014,4,882326.540026292 ,70.6,54.3,62.45,1
2014,5,918807.607538450 ,71.1,56.3,63.7,0
2014,6,1036228.380232810 ,71.3,54.4,62.85,1
2014,7,1122323.044085700 ,75.2,58.4,66.8,0
2014,8,1008405.203237570 ,76.4,58.4,67.4,0
2014,9,811302.398406289 ,65.6,51.6,58.6,1
2014,10,852477.849390308 ,74.2,59.4,66.8,1
2014,11,821046.096270497 ,71.9,56.5,64.2,2
2014,12,1009552.916520500 ,67.9,51,59.45,2
2015,1,972188.527034407 ,62.9,48.2,55.55,2
2015,2,864972.118254037 ,68.8,53.9,61.35,1
2015,3,1006513.614859990 ,68,52.5,60.25,0
2015,4,924521.845898484 ,72.2,55,63.6,1
2015,5,987818.441215517 ,65.6,51.5,58.55,0
2015,6,1079287.138548120 ,73.1,55.5,64.3,1
2015,7,1156661.096214090 ,75.5,60.3,67.9,0
2015,8,1033578.255167190 ,77,62.9,69.95,0
2015,9,849210.619578413 ,73.4,60.4,66.9,1
2015,10,920986.126514711 ,75.3,59.5,67.4,1
2015,11,830205.442122187 ,71.6,56.2,63.9,2
2015,12,1035797.597259130 ,50.1,38.7,44.4,2
