Year,Month,Visitors,Average high temperature,Average low temperature,Average temperature,extra vacation
2007,1,101027.756837202 ,80.9,68.8,74.85,2
2007,2,146651.344733703 ,80.2,66.7,73.45,1
2007,3,106779.076745098 ,80.5,67.9,74.2,0
2007,4,69688.593837120 ,83.6,69.7,76.65,1
2007,5,44752.473408445 ,85,71.6,78.3,0
2007,6,28326.809618240 ,87.3,74.1,80.7,1
2007,7,23560.035005385 ,88,75.2,81.6,0
2007,8,11888.162518571 ,88.3,75.8,82.05,0
2007,9,15687.786362003 ,88.2,74.9,81.55,1
2007,10,47796.079988533 ,86.3,74,80.15,1
2007,11,91374.300600682 ,82.7,70.5,76.6,2
2007,12,109543.818054916 ,80,71.1,75.55,2
2008,1,153745.851774873 ,79.5,67.6,73.55,2
2008,2,97501.010428260 ,81,68.4,74.7,1
2008,3,82706.251162377 ,83.8,70.7,77.25,0
2008,4,49772.765889389 ,83.7,70.7,77.2,1
2008,5,40019.428838810 ,85.5,72.9,79.2,0
2008,6,19245.404889503 ,86.8,74.1,80.45,1
2008,7,22271.855789227 ,88.9,75.5,82.2,0
2008,8,27393.297465424 ,88.4,74.8,81.6,0
2008,9,22401.506705825 ,87.4,73.5,80.45,1
2008,10,27245.506512723 ,85.6,73.7,79.65,1
2008,11,29985.469633841 ,83.2,71.3,77.25,2
2008,12,40521.239909980 ,83.2,71.3,77.25,2
2009,1,51041.296647222 ,66.9,52.7,59.8,2
2009,2,50089.825636730 ,66.9,51.4,59.15,1
2009,3,40916.825033844 ,66.7,52.2,59.45,0
2009,4,50277.109143862 ,68.2,53.5,60.85,1
2009,5,35319.910043094 ,70.2,56.7,63.45,0
2009,6,13114.043292782 ,73.9,51.8,62.85,1
2009,7,38686.222856066 ,74.5,58.8,66.65,0
2009,8,25868.621706360 ,76.2,58.9,67.55,0
2009,9,23126.581109694 ,75.6,58,66.8,1
2009,10,39851.300085599 ,75.1,59.8,67.45,1
2009,11,38481.730436099 ,72.5,56.1,64.3,2
2009,12,55540.060545243 ,70.1,53.7,61.9,2
2010,1,26720.241697952 ,69.2,54,61.6,2
2010,2,66782.742238051 ,68,51.7,59.85,1
