Year,Month,Visitors,Average high temperature,Average low temperature,Average temperature,extra vacation
2007,1,97117.08042,80.9,68.8,74.85,2
2007,2,1036497.792,80.2,66.7,73.45,1
2007,3,1320866.941,80.5,67.9,74.2,0
2007,4,761845.6837,83.6,69.7,76.65,1
2007,5,1447458.194,85,71.6,78.3,0
2007,6,338050.7789,87.3,74.1,80.7,1
2007,7,77088.85276,88,75.2,81.6,0
2007,8,1234316.965,88.3,75.8,82.05,0
2007,9,1491502.138,88.2,74.9,81.55,1
2007,10,508525.4212,86.3,74,80.15,1
2007,12,430073.4879,80,71.1,75.55,2
2008,1,1300657.546,79.5,67.6,73.55,2
2008,2,1390931.078,81,68.4,74.7,1
2008,3,1801884.008,83.8,70.7,77.25,0
2008,4,703908.9919,83.7,70.7,77.2,1
2008,5,1343856.23,85.5,72.9,79.2,0
2008,6,350816.0354,86.8,74.1,80.45,1
2008,7,1108275.063,88.9,75.5,82.2,0
2008,8,1992025.132,88.4,74.8,81.6,0
2008,9,2441686.247,87.4,73.5,80.45,1
2008,10,2240978.816,85.6,73.7,79.65,1
2008,11,689718.6955,83.2,71.3,77.25,2
2008,12,129111.0217,83.2,71.3,77.25,2
2009,1,1360675.57,66.9,52.7,59.8,2
2009,2,1533919.526,66.9,51.4,59.15,1
2009,3,2126398.187,66.7,52.2,59.45,0
2009,4,639554.3604,68.2,53.5,60.85,1
2009,5,1753597.412,70.2,56.7,63.45,0
2009,6,371053.3515,73.9,51.8,62.85,1
2009,7,1237635.408,74.5,58.8,66.65,0
2009,8,3317423.722,76.2,58.9,67.55,0
2009,9,2398786.351,75.6,58,66.8,1
2009,10,389161.5961,75.1,59.8,67.45,1
2009,11,964059.5554,72.5,56.1,64.3,2
2009,12,1716958.486,70.1,53.7,61.9,2
2010,1,932275.0734,69.2,54,61.6,2
2010,2,2438445.2,68,51.7,59.85,1
2010,3,526330.4707,69.1,52.6,60.85,0
2010,4,1256872.549,69.7,53.4,61.55,1
2010,5,1678787.306,71.6,55.4,63.5,0
2010,6,542298.8239,73.3,56,64.65,1
2010,7,1015199.223,74.2,56.5,65.35,0
2010,8,1056930.181,74.3,56.7,65.5,0
2010,9,1024191.425,74.3,56.7,65.5,1
2010,10,828273.5385,74,57,65.5,1
2010,11,416497.3292,72.1,55.9,64,2
2010,12,2895206.14,70,55.4,62.7,2
2011,1,3104216.448,67.8,53.1,60.45,2
2011,2,3485712.476,68.2,54.7,61.45,1
2011,3,1926473.865,69.8,54.5,62.15,0
2011,4,1230156.798,69.7,55.3,62.5,1
2011,5,1050853.31,71.5,56.6,64.05,0
2011,6,22687.2377,72.1,56.4,64.25,1
2011,7,822905.3146,73.6,56.5,65.05,0
2011,8,3493000.36,74.6,57.1,65.85,0
2011,9,2853616.933,74.2,56.7,65.45,1
2011,10,2145250.439,72.9,56.2,64.55,1
2011,11,678448.4944,71,55.5,63.25,2
2011,12,785812.8977,69.4,53.6,61.5,2
2012,1,3561572.482,69.8,53.4,61.6,2
2012,2,2536163.265,65.9,50.6,58.25,1
2012,3,1155819.477,68.8,53,60.9,0
2012,4,352147.6196,69.6,53.3,61.45,1
2012,5,2019719.395,71.4,54.1,62.75,0
2012,6,808012.1246,71.5,55.5,63.5,1
2012,7,1995254.316,72.6,56.2,64.4,0
2012,8,1040281.909,74.5,57.2,65.85,0
2012,9,3201665.588,72.2,56.5,64.4,1
2012,10,1728562.329,73.2,57,65.1,1
2012,11,2495892.857,71.8,54.7,63.25,2
2012,12,1134523.619,70.5,54.6,62.55,2
2013,1,2043687.414,68.6,52.8,60.7,2
2013,2,2437181.331,68.8,50.3,59.55,1
2013,3,1167376.396,67.7,51.3,59.5,0
2013,4,622884.5232,67.6,51.9,59.75,1
2013,5,643023.4421,71.1,56.3,63.7,0
2013,6,1028307.558,70.2,54.8,62.5,1
2013,7,1222269.785,74.4,57.9,66.15,0
2013,8,4084782.745,74.9,57,65.95,0
2013,9,1655299.598,75.6,58.2,66.9,1
2013,10,436394.6607,73.2,58.1,65.65,1
2013,11,890980.1745,62.2,49,55.6,2
2013,12,1764129.246,63.4,49.7,56.55,2
2014,1,1169978.495,67.4,52.7,60.05,2
2014,2,936199.4503,69.3,55.4,62.35,1
2014,3,192777.5837,68.9,54,61.45,0
2014,4,2494188.548,70.6,54.3,62.45,1
2014,5,771714.3434,71.1,56.3,63.7,0
2014,6,77243.24565,71.3,54.4,62.85,1
2014,7,1276556.218,75.2,58.4,66.8,0
2014,8,2065627.053,76.4,58.4,67.4,0
2014,9,1241857.005,65.6,51.6,58.6,1
2014,10,1502595.982,74.2,59.4,66.8,1
2014,11,672347.7124,71.9,56.5,64.2,2
2014,12,754878.7551,67.9,51,59.45,2
2015,1,1970675.298,62.9,48.2,55.55,2
2015,2,1338262.869,68.8,53.9,61.35,1
2015,3,3215253.283,68,52.5,60.25,0
2015,4,636880.9838,72.2,55,63.6,1
2015,5,379030.5326,65.6,51.5,58.55,0
2015,6,449453.8793,73.1,55.5,64.3,1
2015,7,22128.60732,75.5,60.3,67.9,0
2015,8,1790745.057,77,62.9,69.95,0
2015,9,1111121.076,73.4,60.4,66.9,1
2015,10,677570.0726,75.3,59.5,67.4,1
2015,11,1036130.635,71.6,56.2,63.9,2
2015,12,549154.655,50.1,38.7,44.4,2
