Year,Month,Visitors,Average high temperature,Average low temperature,Average temperature,extra vacation
2007,1,344028.304275762 ,80.9,68.8,74.85,2
2007,2,297679.306101149 ,80.2,66.7,73.45,1
2007,3,338486.027243406 ,80.5,67.9,74.2,0
2007,4,278621.333487594 ,83.6,69.7,76.65,1
2007,5,272821.774533625 ,85,71.6,78.3,0
2007,6,334152.428295731 ,87.3,74.1,80.7,1
2007,7,330268.868423129 ,88,75.2,81.6,0
2007,8,284149.658062029 ,88.3,75.8,82.05,0
2007,9,307598.401770507 ,88.2,74.9,81.55,1
2007,10,339340.530370424 ,86.3,74,80.15,1
2007,11,235387.548179469 ,82.7,70.5,76.6,2
2007,12,305077.707090640 ,80,71.1,75.55,2
2008,1,305469.894617856 ,79.5,67.6,73.55,2
2008,2,311284.368673344 ,81,68.4,74.7,1
2008,3,311581.834725877 ,83.8,70.7,77.25,0
2008,4,236321.691280564 ,83.7,70.7,77.2,1
2008,5,272454.798266669 ,85.5,72.9,79.2,0
2008,6,260228.225351075 ,86.8,74.1,80.45,1
2008,7,244291.910483161 ,88.9,75.5,82.2,0
2008,8,234235.957422735 ,88.4,74.8,81.6,0
2008,9,181636.303081435 ,87.4,73.5,80.45,1
2008,10,209886.631323755 ,85.6,73.7,79.65,1
2008,11,189443.202814838 ,83.2,71.3,77.25,2
2008,12,179567.790925147 ,83.2,71.3,77.25,2
2009,1,225570.827306485 ,66.9,52.7,59.8,2
2009,2,221206.844881960 ,66.9,51.4,59.15,1
2009,3,200653.536348150 ,66.7,52.2,59.45,0
2009,4,182302.960100713 ,68.2,53.5,60.85,1
2009,5,194650.401308909 ,70.2,56.7,63.45,0
2009,6,253640.222116812 ,73.9,51.8,62.85,1
2009,7,195887.587937611 ,74.5,58.8,66.65,0
2009,8,181068.957818317 ,76.2,58.9,67.55,0
2009,9,178571.149095103 ,75.6,58,66.8,1
2009,10,168843.767984792 ,75.1,59.8,67.45,1
2009,11,141688.556519142 ,72.5,56.1,64.3,2
2009,12,186188.510317789 ,70.1,53.7,61.9,2
2010,1,193437.973972634 ,69.2,54,61.6,2
2010,2,212279.046766496 ,68,51.7,59.85,1
2010,3,230844.066861835 ,69.1,52.6,60.85,0
2010,4,214346.229422639 ,69.7,53.4,61.55,1
2010,5,188293.030135996 ,71.6,55.4,63.5,0
2010,6,249893.421052632 ,73.3,56,64.65,1
2010,7,234728.307838472 ,74.2,56.5,65.35,0
2010,8,211639.603960396 ,74.3,56.7,65.5,0
2010,9,172558.624536204 ,74.3,56.7,65.5,1
2010,10,192946.163470364 ,74,57,65.5,1
2010,11,148700.000000000 ,72.1,55.9,64,2
