Year,Month,Visitors,Average high temperature,Average low temperature,Average temperature,extra vacation
2007,1,274468.953967725 ,80.9,68.8,74.85,2
2007,2,269545.050921796 ,80.2,66.7,73.45,1
2007,3,314711.279208324 ,80.5,67.9,74.2,0
2007,4,334864.736869339 ,83.6,69.7,76.65,1
2007,5,283639.236498489 ,85,71.6,78.3,0
2007,6,364930.903084173 ,87.3,74.1,80.7,1
2007,7,361490.387342397 ,88,75.2,81.6,0
2007,8,403786.064483574 ,88.3,75.8,82.05,0
2007,9,262153.822502439 ,88.2,74.9,81.55,1
2007,10,351115.015778765 ,86.3,74,80.15,1
2007,11,329351.210343139 ,82.7,70.5,76.6,2
2007,12,347765.092187445 ,80,71.1,75.55,2
2008,1,288064.860933816 ,79.5,67.6,73.55,2
2008,2,285725.913800658 ,81,68.4,74.7,1
2008,3,302751.418078340 ,83.8,70.7,77.25,0
2008,4,255113.085036934 ,83.7,70.7,77.2,1
2008,5,259855.588065231 ,85.5,72.9,79.2,0
2008,6,274543.297771071 ,86.8,74.1,80.45,1
2008,7,249946.618310996 ,88.9,75.5,82.2,0
2008,8,259445.179819546 ,88.4,74.8,81.6,0
2008,9,205310.187309218 ,87.4,73.5,80.45,1
2008,10,269786.687912947 ,85.6,73.7,79.65,1
2008,11,232266.180412170 ,83.2,71.3,77.25,2
2008,12,202980.711442281 ,83.2,71.3,77.25,2
2009,1,172309.986597767 ,66.9,52.7,59.8,2
2009,2,182998.212749297 ,66.9,51.4,59.15,1
2009,3,186051.612129661 ,66.7,52.2,59.45,0
2009,4,223878.324904660 ,68.2,53.5,60.85,1
2009,5,199328.570297533 ,70.2,56.7,63.45,0
2009,6,229401.106227756 ,73.9,51.8,62.85,1
2009,7,252104.640073614 ,74.5,58.8,66.65,0
2009,8,215562.444621643 ,76.2,58.9,67.55,0
2009,9,197914.671049754 ,75.6,58,66.8,1
2009,10,183683.660165485 ,75.1,59.8,67.45,1
2009,11,185909.249818918 ,72.5,56.1,64.3,2
2009,12,235892.374703881 ,70.1,53.7,61.9,2
2010,1,220433.503094599 ,69.2,54,61.6,2
2010,2,202201.123228018 ,68,51.7,59.85,1
2010,3,217791.419558717 ,69.1,52.6,60.85,0
2010,4,222935.372406429 ,69.7,53.4,61.55,1
2010,5,211272.599146991 ,71.6,55.4,63.5,0
2010,6,246068.115942029 ,73.3,56,64.65,1
2010,7,266405.276602042 ,74.2,56.5,65.35,0
2010,8,256200.000000000 ,74.3,56.7,65.5,0
2010,9,238988.505253769 ,74.3,56.7,65.5,1
2010,10,233171.603939104 ,74,57,65.5,1
2010,11,217500.000000000 ,72.1,55.9,64,2
2010,12,259008.876476873 ,70,55.4,62.7,2
2011,1,218889.350027178 ,67.8,53.1,60.45,2
2011,2,234568.424795999 ,68.2,54.7,61.45,1
2011,3,409158.069756889 ,69.8,54.5,62.15,0
2011,4,247454.691491776 ,69.7,55.3,62.5,1
2011,5,249514.918610979 ,71.5,56.6,64.05,0
2011,6,250222.097952527 ,72.1,56.4,64.25,1
2011,7,260982.668400105 ,73.6,56.5,65.05,0
2011,8,234912.312785977 ,74.6,57.1,65.85,0
2011,9,214636.317060236 ,74.2,56.7,65.45,1
2011,10,230123.213460637 ,72.9,56.2,64.55,1
2011,11,250141.425998797 ,71,55.5,63.25,2
2011,12,249460.095460797 ,69.4,53.6,61.5,2
2012,1,208585.405247249 ,69.8,53.4,61.6,2
2012,2,215843.544885000 ,65.9,50.6,58.25,1
2012,3,259191.335890072 ,68.8,53,60.9,0
2012,4,247639.065639651 ,69.6,53.3,61.45,1
2012,5,201386.443055577 ,71.4,54.1,62.75,0
2012,6,263989.158151609 ,71.5,55.5,63.5,1
2012,7,305527.482177541 ,72.6,56.2,64.4,0
2012,8,266338.120392052 ,74.5,57.2,65.85,0
2012,9,222766.443179403 ,72.2,56.5,64.4,1
2012,10,240578.603878662 ,73.2,57,65.1,1
