Year,Month,total_vistors,Average high temperature,Average low temperature,Average temperature,extra vacation
2007,1,854240.025399533 ,80.9,68.8,74.85,2
2007,2,803803.329533738 ,80.2,66.7,73.45,1
2007,3,843568.219765450 ,80.5,67.9,74.2,0
2007,4,796959.531539778 ,83.6,69.7,76.65,1
2007,5,723165.260175641 ,85,71.6,78.3,0
2007,6,959533.383190756 ,87.3,74.1,80.7,1
2007,7,829827.966432207 ,88,75.2,81.6,0
2007,8,868416.491956047 ,88.3,75.8,82.05,0
2007,9,705731.866860409 ,88.2,74.9,81.55,1
2007,10,910342.607967731 ,86.3,74,80.15,1
2007,11,780666.994937488 ,82.7,70.5,76.6,2
2007,12,958752.504112346 ,80,71.1,75.55,2
2008,1,826177.502333295 ,79.5,67.6,73.55,2
2008,2,851305.833949659 ,81,68.4,74.7,1
2008,3,837878.758308607 ,83.8,70.7,77.25,0
2008,4,628018.240759840 ,83.7,70.7,77.2,1
2008,5,697582.213998986 ,85.5,72.9,79.2,0
2008,6,721684.123067915 ,86.8,74.1,80.45,1
2008,7,601113.247266441 ,88.9,75.5,82.2,0
2008,8,631889.084078785 ,88.4,74.8,81.6,0
2008,9,553680.790285255 ,87.4,73.5,80.45,1
2008,10,631282.053042200 ,85.6,73.7,79.65,1
2008,11,516929.765947718 ,83.2,71.3,77.25,2
2008,12,589194.045194160 ,83.2,71.3,77.25,2
2009,1,530360.941627273 ,66.9,52.7,59.8,2
2009,2,505307.464456389 ,66.9,51.4,59.15,1
2009,3,549802.327249853 ,66.7,52.2,59.45,0
2009,4,514846.406168010 ,68.2,53.5,60.85,1
2009,5,502376.210224934 ,70.2,56.7,63.45,0
2009,6,541343.097992206 ,73.9,51.8,62.85,1
2009,7,548588.638421869 ,74.5,58.8,66.65,0
2009,8,507177.205917541 ,76.2,58.9,67.55,0
2009,9,471882.882070175 ,75.6,58,66.8,1
2009,10,430105.290677072 ,75.1,59.8,67.45,1
2009,11,429623.423147193 ,72.5,56.1,64.3,2
2009,12,573989.880134865 ,70.1,53.7,61.9,2
2010,1,492606.278615844 ,69.2,54,61.6,2
2010,2,574221.514124268 ,68,51.7,59.85,1
2010,3,572907.381730026 ,69.1,52.6,60.85,0
2010,4,547629.312320416 ,69.7,53.4,61.55,1
2010,5,587343.047244309 ,71.6,55.4,63.5,0
2010,6,563656.779774430 ,73.3,56,64.65,1
2010,7,623297.285390287 ,74.2,56.5,65.35,0
2010,8,592312.079632037 ,74.3,56.7,65.5,0
2010,9,566374.134831121 ,74.3,56.7,65.5,1
2010,10,534009.746053690 ,74,57,65.5,1
2010,11,473941.956695230 ,72.1,55.9,64,2
2010,12,692241.135564907 ,70,55.4,62.7,2
2011,1,578293.822865344 ,67.8,53.1,60.45,2
2011,2,610411.483717415 ,68.2,54.7,61.45,1
2011,3,966658.050978323 ,69.8,54.5,62.15,0
2011,4,638235.653691713 ,69.7,55.3,62.5,1
2011,5,603652.845295820 ,71.5,56.6,64.05,0
2011,6,573642.529105464 ,72.1,56.4,64.25,1
2011,7,652314.511060766 ,73.6,56.5,65.05,0
2011,8,568008.991351309 ,74.6,57.1,65.85,0
2011,9,560860.735437907 ,74.2,56.7,65.45,1
2011,10,560775.265723220 ,72.9,56.2,64.55,1
2011,11,502526.170410184 ,71,55.5,63.25,2
2011,12,685048.186111165 ,69.4,53.6,61.5,2
2012,1,635580.789332952 ,69.8,53.4,61.6,2
2012,2,605461.616974365 ,65.9,50.6,58.25,1
2012,3,658188.038236632 ,68.8,53,60.9,0
2012,4,631936.706483423 ,69.6,53.3,61.45,1
2012,5,563870.353113524 ,71.4,54.1,62.75,0
2012,6,645902.720672471 ,71.5,55.5,63.5,1
2012,7,613816.366226104 ,72.6,56.2,64.4,0
2012,8,659254.894655982 ,74.5,57.2,65.85,0
2012,9,554467.657617335 ,72.2,56.5,64.4,1
2012,10,521271.730917481 ,73.2,57,65.1,1
2012,11,531746.252285498 ,71.8,54.7,63.25,2
2012,12,643392.738823014 ,70.5,54.6,62.55,2
2013,1,630213.183072527 ,68.6,52.8,60.7,2
2013,2,614464.785312808 ,68.8,50.3,59.55,1
2013,3,666416.347120899 ,67.7,51.3,59.5,0
2013,4,569639.886965349 ,67.6,51.9,59.75,1
2013,5,547674.961203645 ,71.1,56.3,63.7,0
2013,6,703724.871475476 ,70.2,54.8,62.5,1
2013,7,621217.900461898 ,74.4,57.9,66.15,0
2013,8,624180.579354462 ,74.9,57,65.95,0
2013,9,639246.499663558 ,75.6,58.2,66.9,1
2013,10,588302.957284152 ,73.2,58.1,65.65,1
2013,11,550741.854205969 ,62.2,49,55.6,2
2013,12,675165.778344200 ,63.4,49.7,56.55,2
2014,1,569709.349198489 ,67.4,52.7,60.05,2
2014,2,523496.455599383 ,69.3,55.4,62.35,1
2014,3,533582.883505968 ,68.9,54,61.45,0
2014,4,531495.459967961 ,70.6,54.3,62.45,1
2014,5,546202.343307704 ,71.1,56.3,63.7,0
2014,6,487074.376113515 ,71.3,54.4,62.85,1
2014,7,549971.628573476 ,75.2,58.4,66.8,0
2014,8,556928.487818439 ,76.4,58.4,67.4,0
2014,9,549317.720989088 ,65.6,51.6,58.6,1
2014,10,538055.333089286 ,74.2,59.4,66.8,1
2014,11,548254.816754448 ,71.9,56.5,64.2,2
2014,12,713093.873028848 ,67.9,51,59.45,2
2015,1,572742.205199307 ,62.9,48.2,55.55,2
2015,2,615609.211128272 ,68.8,53.9,61.35,1
2015,3,626662.596697627 ,68,52.5,60.25,0
2015,4,497690.018284669 ,72.2,55,63.6,1
2015,5,532302.478276381 ,65.6,51.5,58.55,0
2015,6,595716.476727953 ,73.1,55.5,64.3,1
2015,7,415627.447085024 ,75.5,60.3,67.9,0
2015,8,446915.193945174 ,77,62.9,69.95,0
2015,9,360716.487621235 ,73.4,60.4,66.9,1
2015,10,360580.901890665 ,75.3,59.5,67.4,1
2015,11,346419.496276560 ,71.6,56.2,63.9,2
2015,12,427118.261986488 ,50.1,38.7,44.4,2
