Year,Month,Visitors,Average high temperature,Average low temperature,Average temperature,extra vacation
2007,1,238794.721188003 ,80.9,68.8,74.85,2
2007,2,204912.833181476 ,80.2,66.7,73.45,1
2007,3,211353.351633449 ,80.5,67.9,74.2,0
2007,4,138418.702920496 ,83.6,69.7,76.65,1
2007,5,89348.806992228 ,85,71.6,78.3,0
2007,6,68734.137858651 ,87.3,74.1,80.7,1
2007,7,77961.330226586 ,88,75.2,81.6,0
2007,8,96235.683105989 ,88.3,75.8,82.05,0
2007,9,81996.122786485 ,88.2,74.9,81.55,1
2007,10,104634.117438854 ,86.3,74,80.15,1
2007,11,160695.817662559 ,82.7,70.5,76.6,2
2007,12,276899.607552069 ,80,71.1,75.55,2
2008,1,259412.782264586 ,79.5,67.6,73.55,2
2008,2,232229.572113422 ,81,68.4,74.7,1
2008,3,234959.021322245 ,83.8,70.7,77.25,0
2008,4,156511.833725423 ,83.7,70.7,77.2,1
2008,5,98732.477966466 ,85.5,72.9,79.2,0
2008,6,59780.767805446 ,86.8,74.1,80.45,1
2008,7,85407.642286557 ,88.9,75.5,82.2,0
2008,8,95542.927113113 ,88.4,74.8,81.6,0
2008,9,65905.085321814 ,87.4,73.5,80.45,1
2008,10,118914.271508040 ,85.6,73.7,79.65,1
2008,11,168099.607764453 ,83.2,71.3,77.25,2
2008,12,238470.888153981 ,83.2,71.3,77.25,2
2009,1,220308.711028716 ,66.9,52.7,59.8,2
2009,2,210084.276616306 ,66.9,51.4,59.15,1
2009,3,225967.846816230 ,66.7,52.2,59.45,0
2009,4,162005.966818470 ,68.2,53.5,60.85,1
2009,5,85406.065744610 ,70.2,56.7,63.45,0
2009,6,55404.365155843 ,73.9,51.8,62.85,1
2009,7,82903.259244264 ,74.5,58.8,66.65,0
2009,8,89576.211150187 ,76.2,58.9,67.55,0
2009,9,71813.417876413 ,75.6,58,66.8,1
2009,10,122392.877830777 ,75.1,59.8,67.45,1
2009,11,152774.722694648 ,72.5,56.1,64.3,2
2009,12,244794.645387620 ,70.1,53.7,61.9,2
2010,1,239395.620127466 ,69.2,54,61.6,2
2010,2,254378.434121971 ,68,51.7,59.85,1
2010,3,267793.261190210 ,69.1,52.6,60.85,0
2010,4,166898.953759240 ,69.7,53.4,61.55,1
2010,5,93585.040760330 ,71.6,55.4,63.5,0
2010,6,61030.857381674 ,73.3,56,64.65,1
2010,7,103425.056991395 ,74.2,56.5,65.35,0
2010,8,102713.432951682 ,74.3,56.7,65.5,0
2010,9,70821.508709804 ,74.3,56.7,65.5,1
2010,10,140106.916790346 ,74,57,65.5,1
2010,11,200265.501365250 ,72.1,55.9,64,2
2010,12,294441.652528518 ,70,55.4,62.7,2
2011,1,293559.140769438 ,67.8,53.1,60.45,2
2011,2,293404.313018097 ,68.2,54.7,61.45,1
2011,3,352675.866680332 ,69.8,54.5,62.15,0
2011,4,225471.849960691 ,69.7,55.3,62.5,1
2011,5,107700.775568908 ,71.5,56.6,64.05,0
2011,6,72361.247434600 ,72.1,56.4,64.25,1
2011,7,123548.516739006 ,73.6,56.5,65.05,0
2011,8,127085.156307328 ,74.6,57.1,65.85,0
2011,9,95516.532509369 ,74.2,56.7,65.45,1
2011,10,147841.301557441 ,72.9,56.2,64.55,1
2011,11,205792.330171346 ,71,55.5,63.25,2
2011,12,347670.786819941 ,69.4,53.6,61.5,2
2012,1,329159.115137522 ,69.8,53.4,61.6,2
2012,2,333608.137691649 ,65.9,50.6,58.25,1
2012,3,402574.023529258 ,68.8,53,60.9,0
2012,4,233219.941831625 ,69.6,53.3,61.45,1
2012,5,110762.126759211 ,71.4,54.1,62.75,0
2012,6,76076.168743430 ,71.5,55.5,63.5,1
2012,7,124365.522273219 ,72.6,56.2,64.4,0
2012,8,128496.255043583 ,74.5,57.2,65.85,0
2012,9,96693.111636900 ,72.2,56.5,64.4,1
2012,10,147199.877389940 ,73.2,57,65.1,1
2012,11,238180.139405304 ,71.8,54.7,63.25,2
2012,12,358839.577264620 ,70.5,54.6,62.55,2
2013,1,349161.530639740 ,68.6,52.8,60.7,2
2013,2,339893.555722074 ,68.8,50.3,59.55,1
2013,3,401593.423260558 ,67.7,51.3,59.5,0
2013,4,222893.896867786 ,67.6,51.9,59.75,1
2013,5,120964.783992295 ,71.1,56.3,63.7,0
2013,6,94723.422351516 ,70.2,54.8,62.5,1
2013,7,134763.578235117 ,74.4,57.9,66.15,0
2013,8,137621.375807559 ,74.9,57,65.95,0
2013,9,104558.545744419 ,75.6,58.2,66.9,1
2013,10,156760.560090685 ,73.2,58.1,65.65,1
2013,11,246869.292668893 ,62.2,49,55.6,2
2013,12,380906.168781337 ,63.4,49.7,56.55,2
2014,1,360012.426445651 ,67.4,52.7,60.05,2
2014,2,326210.000000000 ,69.3,55.4,62.35,1
2014,3,393572.257984384 ,68.9,54,61.45,0
2014,4,255521.054954061 ,70.6,54.3,62.45,1
2014,5,135774.332723475 ,71.1,56.3,63.7,0
2014,6,79556.696796847 ,71.3,54.4,62.85,1
2014,7,120301.515618345 ,75.2,58.4,66.8,0
2014,8,122103.742627903 ,76.4,58.4,67.4,0
2014,9,105232.635384294 ,65.6,51.6,58.6,1
2014,10,156497.814417120 ,74.2,59.4,66.8,1
2014,11,248883.660933928 ,71.9,56.5,64.2,2
2014,12,379855.192778988 ,67.9,51,59.45,2
2015,1,374375.555473469 ,62.9,48.2,55.55,2
2015,2,308844.897238997 ,68.8,53.9,61.35,1
2015,3,385773.711510947 ,68,52.5,60.25,0
2015,4,235566.526520707 ,72.2,55,63.6,1
2015,5,131819.171130401 ,65.6,51.5,58.55,0
2015,6,90827.323924228 ,73.1,55.5,64.3,1
2015,7,135059.121164460 ,75.5,60.3,67.9,0
2015,8,141221.950540708 ,77,62.9,69.95,0
2015,9,104038.499099200 ,73.4,60.4,66.9,1
2015,10,157378.034210105 ,75.3,59.5,67.4,1
2015,11,237679.137146568 ,71.6,56.2,63.9,2
2015,12,331979.601434032 ,50.1,38.7,44.4,2
