Year,Month,Visitors,Average high temperature,Average low temperature,Average temperature,extra vacation
2007,1,762774.373007006 ,80.9,68.8,74.85,2
2007,2,654197.380148521 ,80.2,66.7,73.45,1
2007,3,739571.972414837 ,80.5,67.9,74.2,0
2007,4,565606.479082495 ,83.6,69.7,76.65,1
2007,5,487656.784143666 ,85,71.6,78.3,0
2007,6,790446.418040464 ,87.3,74.1,80.7,1
2007,7,810969.714912118 ,88,75.2,81.6,0
2007,8,881599.576926554 ,88.3,75.8,82.05,0
2007,9,732035.278152343 ,88.2,74.9,81.55,1
2007,10,513631.302970756 ,86.3,74,80.15,1
2007,11,679266.296923783 ,82.7,70.5,76.6,2
2007,12,565655.654081977 ,80,71.1,75.55,2
2008,1,707736.398874887 ,79.5,67.6,73.55,2
2008,2,702256.766811643 ,81,68.4,74.7,1
2008,3,562228.119583448 ,83.8,70.7,77.25,0
2008,4,334155.539972406 ,83.7,70.7,77.2,1
2008,5,530499.871174283 ,85.5,72.9,79.2,0
2008,6,456947.238509773 ,86.8,74.1,80.45,1
2008,7,627849.824168853 ,88.9,75.5,82.2,0
2008,8,798406.219047565 ,88.4,74.8,81.6,0
2008,9,578062.230350569 ,87.4,73.5,80.45,1
2008,10,548314.721646035 ,85.6,73.7,79.65,1
2008,11,424239.967009605 ,83.2,71.3,77.25,2
2008,12,455894.614667432 ,83.2,71.3,77.25,2
2009,1,447336.208031522 ,66.9,52.7,59.8,2
2009,2,533898.003990493 ,66.9,51.4,59.15,1
2009,3,504029.786077550 ,66.7,52.2,59.45,0
2009,4,400032.549530804 ,68.2,53.5,60.85,1
2009,5,456211.991219772 ,70.2,56.7,63.45,0
2009,6,301731.221664738 ,73.9,51.8,62.85,1
2009,7,512599.086004573 ,74.5,58.8,66.65,0
2009,8,610119.582012401 ,76.2,58.9,67.55,0
2009,9,468085.423712459 ,75.6,58,66.8,1
2009,10,440031.576278620 ,75.1,59.8,67.45,1
2009,11,432598.011418028 ,72.5,56.1,64.3,2
2009,12,603577.848128129 ,70.1,53.7,61.9,2
2010,1,544512.977593867 ,69.2,54,61.6,2
2010,2,466598.875534167 ,68,51.7,59.85,1
2010,3,505876.410739410 ,69.1,52.6,60.85,0
2010,4,433207.880187990 ,69.7,53.4,61.55,1
2010,5,465366.116738193 ,71.6,55.4,63.5,0
2010,6,559683.700645185 ,73.3,56,64.65,1
2010,7,559622.044786477 ,74.2,56.5,65.35,0
2010,8,691147.823559635 ,74.3,56.7,65.5,0
2010,9,505058.921305997 ,74.3,56.7,65.5,1
2010,10,462529.689004220 ,74,57,65.5,1
2010,11,436474.735765427 ,72.1,55.9,64,2
2010,12,575906.068515403 ,70,55.4,62.7,2
2011,1,541305.699506163 ,67.8,53.1,60.45,2
2011,2,441825.175515470 ,68.2,54.7,61.45,1
2011,3,612665.492357672 ,69.8,54.5,62.15,0
2011,4,326203.689277320 ,69.7,55.3,62.5,1
2011,5,464497.497864412 ,71.5,56.6,64.05,0
2011,6,592560.958945759 ,72.1,56.4,64.25,1
2011,7,502516.669313174 ,73.6,56.5,65.05,0
2011,8,745572.871019062 ,74.6,57.1,65.85,0
2011,9,621127.197104457 ,74.2,56.7,65.45,1
2011,10,532246.122753637 ,72.9,56.2,64.55,1
2011,11,478835.840947698 ,71,55.5,63.25,2
