Year,Month,Visitors,Average high temperature,Average low temperature,Average temperature,extra vacation
2007,1,683694.013237822 ,80.9,68.8,74.85,2
2007,2,700888.799457327 ,80.2,66.7,73.45,1
2007,3,808843.234812733 ,80.5,67.9,74.2,0
2007,4,613772.944944517 ,83.6,69.7,76.65,1
2007,5,697235.588242596 ,85,71.6,78.3,0
2007,6,868737.365301683 ,87.3,74.1,80.7,1
2007,7,800669.637706061 ,88,75.2,81.6,0
2007,8,668094.413269547 ,88.3,75.8,82.05,0
2007,9,617104.699781537 ,88.2,74.9,81.55,1
2007,10,593835.725805872 ,86.3,74,80.15,1
2007,11,495705.541412426 ,82.7,70.5,76.6,2
2007,12,600302.521031081 ,80,71.1,75.55,2
2008,1,683798.555005479 ,79.5,67.6,73.55,2
2008,2,669764.774980395 ,81,68.4,74.7,1
2008,3,700272.707158069 ,83.8,70.7,77.25,0
2008,4,537127.325593848 ,83.7,70.7,77.2,1
2008,5,566793.797688404 ,85.5,72.9,79.2,0
2008,6,665471.866442730 ,86.8,74.1,80.45,1
2008,7,624472.593332194 ,88.9,75.5,82.2,0
2008,8,519664.017877063 ,88.4,74.8,81.6,0
2008,9,412602.627045654 ,87.4,73.5,80.45,1
2008,10,458598.484063244 ,85.6,73.7,79.65,1
2008,11,396352.772316148 ,83.2,71.3,77.25,2
2008,12,473097.357996299 ,83.2,71.3,77.25,2
2009,1,536886.953318928 ,66.9,52.7,59.8,2
2009,2,540683.361103186 ,66.9,51.4,59.15,1
2009,3,508116.568275865 ,66.7,52.2,59.45,0
2009,4,447429.787605437 ,68.2,53.5,60.85,1
2009,5,458317.674495696 ,70.2,56.7,63.45,0
2009,6,610187.975101250 ,73.9,51.8,62.85,1
2009,7,608851.845154153 ,74.5,58.8,66.65,0
2009,8,486132.532388306 ,76.2,58.9,67.55,0
2009,9,419223.160074226 ,75.6,58,66.8,1
2009,10,426201.821240929 ,75.1,59.8,67.45,1
2009,11,343949.245438490 ,72.5,56.1,64.3,2
2009,12,453579.251915055 ,70.1,53.7,61.9,2
2010,1,520347.661309440 ,69.2,54,61.6,2
2010,2,522664.014878574 ,68,51.7,59.85,1
2010,3,559386.637616866 ,69.1,52.6,60.85,0
2010,4,450220.223216890 ,69.7,53.4,61.55,1
2010,5,460742.214742263 ,71.6,55.4,63.5,0
2010,6,637828.157894737 ,73.3,56,64.65,1
2010,7,671678.697499054 ,74.2,56.5,65.35,0
2010,8,493487.524752475 ,74.3,56.7,65.5,0
2010,9,419315.785285440 ,74.3,56.7,65.5,1
2010,10,456440.631297349 ,74,57,65.5,1
2010,11,389665.217391304 ,72.1,55.9,64,2
2010,12,501553.741486726 ,70,55.4,62.7,2
2011,1,547083.943286615 ,67.8,53.1,60.45,2
2011,2,581129.935894074 ,68.2,54.7,61.45,1
2011,3,642667.512348261 ,69.8,54.5,62.15,0
2011,4,448753.896077911 ,69.7,55.3,62.5,1
2011,5,472435.302562888 ,71.5,56.6,64.05,0
2011,6,609347.957809621 ,72.1,56.4,64.25,1
2011,7,643064.550084168 ,73.6,56.5,65.05,0
2011,8,479682.579206764 ,74.6,57.1,65.85,0
2011,9,422136.996270178 ,74.2,56.7,65.45,1
2011,10,451095.567684515 ,72.9,56.2,64.55,1
2011,11,402081.482816152 ,71,55.5,63.25,2
2011,12,491196.946060710 ,69.4,53.6,61.5,2
2012,1,581758.748554833 ,69.8,53.4,61.6,2
2012,2,575653.105014687 ,65.9,50.6,58.25,1
2012,3,613240.364506839 ,68.8,53,60.9,0
2012,4,459571.478147828 ,69.6,53.3,61.45,1
2012,5,489331.602806509 ,71.4,54.1,62.75,0
2012,6,659347.500096784 ,71.5,55.5,63.5,1
2012,7,622084.118674136 ,72.6,56.2,64.4,0
2012,8,532346.197546995 ,74.5,57.2,65.85,0
2012,9,417735.451363847 ,72.2,56.5,64.4,1
2012,10,450962.950054232 ,73.2,57,65.1,1
2012,11,423103.294567903 ,71.8,54.7,63.25,2
2012,12,528214.236297214 ,70.5,54.6,62.55,2
2013,1,600300.504850307 ,68.6,52.8,60.7,2
2013,2,537329.857119982 ,68.8,50.3,59.55,1
2013,3,595016.666538956 ,67.7,51.3,59.5,0
2013,4,481599.713010518 ,67.6,51.9,59.75,1
2013,5,521306.223140055 ,71.1,56.3,63.7,0
2013,6,642772.307971159 ,70.2,54.8,62.5,1
2013,7,680781.068337157 ,74.4,57.9,66.15,0
2013,8,559312.944347637 ,74.9,57,65.95,0
2013,9,412160.827472755 ,75.6,58.2,66.9,1
2013,10,440017.544690424 ,73.2,58.1,65.65,1
2013,11,392446.015170582 ,62.2,49,55.6,2
2013,12,531980.145355584 ,63.4,49.7,56.55,2
2014,1,563622.243162087 ,67.4,52.7,60.05,2
2014,2,556395.356798480 ,69.3,55.4,62.35,1
2014,3,611966.643311784 ,68.9,54,61.45,0
2014,4,503953.317212924 ,70.6,54.3,62.45,1
2014,5,553361.136893464 ,71.1,56.3,63.7,0
2014,6,644169.310994528 ,71.3,54.4,62.85,1
2014,7,676441.246147684 ,75.2,58.4,66.8,0
2014,8,531030.134197039 ,76.4,58.4,67.4,0
2014,9,430490.963445198 ,65.6,51.6,58.6,1
2014,10,459716.266480029 ,74.2,59.4,66.8,1
2014,11,403064.873525984 ,71.9,56.5,64.2,2
2014,12,571568.768227753 ,67.9,51,59.45,2
2015,1,592984.419350817 ,62.9,48.2,55.55,2
2015,2,566538.863411162 ,68.8,53.9,61.35,1
2015,3,641194.356895367 ,68,52.5,60.25,0
2015,4,513818.107183558 ,72.2,55,63.6,1
2015,5,579777.422181177 ,65.6,51.5,58.55,0
2015,6,714921.082944684 ,73.1,55.5,64.3,1
2015,7,696840.522293533 ,75.5,60.3,67.9,0
2015,8,545419.134985492 ,77,62.9,69.95,0
2015,9,424937.907116894 ,73.4,60.4,66.9,1
2015,10,476143.063354980 ,75.3,59.5,67.4,1
2015,11,415585.773788663 ,71.6,56.2,63.9,2
2015,12,588296.762958637 ,50.1,38.7,44.4,2
