Year,Month,Visitors,Average high temperature,Average low temperature,Average temperature,extra vacation
2007,1,811451.874325555 ,80.9,68.8,74.85,2
2007,2,845805.452236904 ,80.2,66.7,73.45,1
2007,3,1043838.508368240 ,80.5,67.9,74.2,0
2007,4,1048612.710747790 ,83.6,69.7,76.65,1
2007,5,1003949.289298230 ,85,71.6,78.3,0
2007,6,1192261.283257970 ,87.3,74.1,80.7,1
2007,7,1317838.144297380 ,88,75.2,81.6,0
2007,8,1297810.704640800 ,88.3,75.8,82.05,0
2007,9,886611.888453260 ,88.2,74.9,81.55,1
2007,10,977291.954073035 ,86.3,74,80.15,1
2007,11,976526.800559695 ,82.7,70.5,76.6,2
2007,12,1013452.131609340 ,80,71.1,75.55,2
2008,1,801977.478520997 ,79.5,67.6,73.55,2
2008,2,818137.618292519 ,81,68.4,74.7,1
2008,3,1013418.592701620 ,83.8,70.7,77.25,0
2008,4,860353.770558323 ,83.7,70.7,77.2,1
2008,5,834365.691505305 ,85.5,72.9,79.2,0
2008,6,944816.022298295 ,86.8,74.1,80.45,1
2008,7,973532.057971192 ,88.9,75.5,82.2,0
2008,8,955112.441290505 ,88.4,74.8,81.6,0
2008,9,649066.593065700 ,87.4,73.5,80.45,1
2008,10,727356.645044233 ,85.6,73.7,79.65,1
2008,11,728490.232966964 ,83.2,71.3,77.25,2
2008,12,742360.635457966 ,83.2,71.3,77.25,2
2009,1,640738.669481551 ,66.9,52.7,59.8,2
2009,2,655509.601177599 ,66.9,51.4,59.15,1
2009,3,724920.128996592 ,66.7,52.2,59.45,0
2009,4,801285.691222552 ,68.2,53.5,60.85,1
2009,5,759409.208412259 ,70.2,56.7,63.45,0
2009,6,961129.807563123 ,73.9,51.8,62.85,1
2009,7,1012843.976761840 ,74.5,58.8,66.65,0
2009,8,991410.450061802 ,76.2,58.9,67.55,0
2009,9,697736.409785429 ,75.6,58,66.8,1
2009,10,744589.055070313 ,75.1,59.8,67.45,1
2009,11,744782.373098860 ,72.5,56.1,64.3,2
2009,12,780979.106004552 ,70.1,53.7,61.9,2
2010,1,676823.043607325 ,69.2,54,61.6,2
2010,2,701460.500024345 ,68,51.7,59.85,1
2010,3,836749.247898419 ,69.1,52.6,60.85,0
2010,4,860751.247092405 ,69.7,53.4,61.55,1
2010,5,861369.480634896 ,71.6,55.4,63.5,0
2010,6,978053.623188406 ,73.3,56,64.65,1
2010,7,1093701.800332290 ,74.2,56.5,65.35,0
2010,8,1062979.642857140 ,74.3,56.7,65.5,0
2010,9,817122.348711901 ,74.3,56.7,65.5,1
2010,10,923613.551170858 ,74,57,65.5,1
2010,11,860850.000000000 ,72.1,55.9,64,2
2010,12,866651.466760868 ,70,55.4,62.7,2
2011,1,756035.589778226 ,67.8,53.1,60.45,2
2011,2,753594.738968763 ,68.2,54.7,61.45,1
2011,3,846312.874690831 ,69.8,54.5,62.15,0
2011,4,957122.660752732 ,69.7,55.3,62.5,1
2011,5,851812.042693612 ,71.5,56.6,64.05,0
2011,6,1017772.752667880 ,72.1,56.4,64.25,1
2011,7,1075376.585413960 ,73.6,56.5,65.05,0
2011,8,992118.695596106 ,74.6,57.1,65.85,0
2011,9,813804.368335612 ,74.2,56.7,65.45,1
2011,10,855914.802935398 ,72.9,56.2,64.55,1
2011,11,873722.535650845 ,71,55.5,63.25,2
2011,12,904909.322779455 ,69.4,53.6,61.5,2
2012,1,772196.276731125 ,69.8,53.4,61.6,2
2012,2,752691.907790341 ,65.9,50.6,58.25,1
2012,3,926044.719266659 ,68.8,53,60.9,0
2012,4,968496.694559076 ,69.6,53.3,61.45,1
2012,5,906416.590949109 ,71.4,54.1,62.75,0
2012,6,1077587.391279810 ,71.5,55.5,63.5,1
2012,7,1112331.423534170 ,72.6,56.2,64.4,0
2012,8,1080157.491070880 ,74.5,57.2,65.85,0
2012,9,825927.985948003 ,72.2,56.5,64.4,1
2012,10,960939.048787070 ,73.2,57,65.1,1
2012,11,967473.401213494 ,71.8,54.7,63.25,2
2012,12,965926.364836248 ,70.5,54.6,62.55,2
2013,1,829871.429542006 ,68.6,52.8,60.7,2
2013,2,802812.818639181 ,68.8,50.3,59.55,1
2013,3,977384.017334907 ,67.7,51.3,59.5,0
2013,4,969060.617125368 ,67.6,51.9,59.75,1
2013,5,926557.563509635 ,71.1,56.3,63.7,0
2013,6,1130417.561758480 ,70.2,54.8,62.5,1
2013,7,1106320.445115800 ,74.4,57.9,66.15,0
