Year,Month,total_vistors,Average high temperature,Average low temperature,Average temperature,extra vacation
2007,1,195264.607736769 ,80.9,68.8,74.85,2
2007,2,196700.119771895 ,80.2,66.7,73.45,1
2007,3,227232.515181779 ,80.5,67.9,74.2,0
2007,4,202215.772581903 ,83.6,69.7,76.65,1
2007,5,198130.153572103 ,85,71.6,78.3,0
2007,6,241790.409764887 ,87.3,74.1,80.7,1
2007,7,247535.243910073 ,88,75.2,81.6,0
2007,8,237113.275608522 ,88.3,75.8,82.05,0
2007,9,186111.351035001 ,88.2,74.9,81.55,1
2007,10,190684.616479528 ,86.3,74,80.15,1
2007,11,184472.897755429 ,82.7,70.5,76.6,2
2007,12,214791.746544927 ,80,71.1,75.55,2
2008,1,194482.453147924 ,79.5,67.6,73.55,2
2008,2,195941.389907593 ,81,68.4,74.7,1
2008,3,216018.882642852 ,83.8,70.7,77.25,0
2008,4,174059.517326093 ,83.7,70.7,77.2,1
2008,5,172325.357696280 ,85.5,72.9,79.2,0
2008,6,188555.102005996 ,86.8,74.1,80.45,1
2008,7,192589.608155041 ,88.9,75.5,82.2,0
2008,8,186655.102230404 ,88.4,74.8,81.6,0
2008,9,136260.072864454 ,87.4,73.5,80.45,1
2008,10,153451.815131063 ,85.6,73.7,79.65,1
2008,11,146963.346710512 ,83.2,71.3,77.25,2
2008,12,171739.905000274 ,83.2,71.3,77.25,2
2009,1,158992.331084194 ,66.9,52.7,59.8,2
2009,2,155773.307721657 ,66.9,51.4,59.15,1
2009,3,162328.842947811 ,66.7,52.2,59.45,0
2009,4,159587.929730645 ,68.2,53.5,60.85,1
2009,5,148624.799097506 ,70.2,56.7,63.45,0
2009,6,179406.536581493 ,73.9,51.8,62.85,1
2009,7,193016.738880956 ,74.5,58.8,66.65,0
2009,8,180027.027133690 ,76.2,58.9,67.55,0
2009,9,137880.904992206 ,75.6,58,66.8,1
2009,10,145918.003239825 ,75.1,59.8,67.45,1
2009,11,141470.129127669 ,72.5,56.1,64.3,2
2009,12,169330.593426196 ,70.1,53.7,61.9,2
2010,1,162436.020724195 ,69.2,54,61.6,2
2010,2,166300.978133421 ,68,51.7,59.85,1
2010,3,185185.863491370 ,69.1,52.6,60.85,0
2010,4,165937.476941990 ,69.7,53.4,61.55,1
2010,5,164604.662170064 ,71.6,55.4,63.5,0
2010,6,186670.858416744 ,73.3,56,64.65,1
2010,7,214115.283773825 ,74.2,56.5,65.35,0
2010,8,191860.745911491 ,74.3,56.7,65.5,0
2010,9,155360.722798489 ,74.3,56.7,65.5,1
2010,10,174854.505082137 ,74,57,65.5,1
2010,11,165358.452272661 ,72.1,55.9,64,2
