Year,Month,Visitors,Average high temperature,Average low temperature,Average temperature,extra vacation
2007,1,120257.058124766 ,80.9,68.8,74.85,2
2007,2,95028.097950463 ,80.2,66.7,73.45,1
2007,3,118014.950801142 ,80.5,67.9,74.2,0
2007,4,72436.953793096 ,83.6,69.7,76.65,1
2007,5,29085.267753965 ,85,71.6,78.3,0
2007,6,6925.509521230 ,87.3,74.1,80.7,1
2007,7,32893.135842542 ,88,75.2,81.6,0
2007,8,74835.507632133 ,88.3,75.8,82.05,0
2007,9,24782.708034423 ,88.2,74.9,81.55,1
2007,10,63149.228865330 ,86.3,74,80.15,1
2007,11,78543.452569868 ,82.7,70.5,76.6,2
2007,12,130680.089857557 ,80,71.1,75.55,2
2008,1,151811.279464581 ,79.5,67.6,73.55,2
2008,2,113552.240352707 ,81,68.4,74.7,1
2008,3,106578.535442365 ,83.8,70.7,77.25,0
2008,4,60114.081482337 ,83.7,70.7,77.2,1
2008,5,50456.914754882 ,85.5,72.9,79.2,0
2008,6,27702.112338386 ,86.8,74.1,80.45,1
2008,7,18604.453190845 ,88.9,75.5,82.2,0
2008,8,27079.901735800 ,88.4,74.8,81.6,0
2008,9,22766.971001015 ,87.4,73.5,80.45,1
2008,10,33921.294035767 ,85.6,73.7,79.65,1
2008,11,23111.590163017 ,83.2,71.3,77.25,2
2008,12,37755.235894177 ,83.2,71.3,77.25,2
2009,1,50945.818175005 ,66.9,52.7,59.8,2
2009,2,41031.396546275 ,66.9,51.4,59.15,1
2009,3,45559.840879927 ,66.7,52.2,59.45,0
2009,4,24464.152123839 ,68.2,53.5,60.85,1
2009,5,25564.778945851 ,70.2,56.7,63.45,0
2009,6,7037.498450899 ,73.9,51.8,62.85,1
2009,7,19378.452620667 ,74.5,58.8,66.65,0
2009,8,12572.385773588 ,76.2,58.9,67.55,0
2009,9,16652.586147208 ,75.6,58,66.8,1
2009,10,29737.369482186 ,75.1,59.8,67.45,1
2009,11,47514.893385302 ,72.5,56.1,64.3,2
2009,12,54625.572003539 ,70.1,53.7,61.9,2
2010,1,38462.353766857 ,69.2,54,61.6,2
2010,2,53644.386459812 ,68,51.7,59.85,1
2010,3,50421.708823726 ,69.1,52.6,60.85,0
2010,4,19036.697018307 ,69.7,53.4,61.55,1
2010,5,16481.854213553 ,71.6,55.4,63.5,0
2010,6,5934.991119005 ,73.3,56,64.65,1
2010,7,13762.927052302 ,74.2,56.5,65.35,0
2010,8,15564.829484042 ,74.3,56.7,65.5,0
2010,9,12241.938516410 ,74.3,56.7,65.5,1
2010,10,28275.627566298 ,74,57,65.5,1
2010,11,44744.308293639 ,72.1,55.9,64,2
2010,12,36386.287200279 ,70,55.4,62.7,2
2011,1,78586.326135170 ,67.8,53.1,60.45,2
2011,2,45493.209763906 ,68.2,54.7,61.45,1
2011,3,72159.732061254 ,69.8,54.5,62.15,0
2011,4,24651.899913136 ,69.7,55.3,62.5,1
2011,5,13484.594125184 ,71.5,56.6,64.05,0
2011,6,6930.914127830 ,72.1,56.4,64.25,1
2011,7,23075.444114770 ,73.6,56.5,65.05,0
2011,8,15831.224339008 ,74.6,57.1,65.85,0
2011,9,20176.127531652 ,74.2,56.7,65.45,1
2011,10,28864.733548623 ,72.9,56.2,64.55,1
2011,11,35762.635107908 ,71,55.5,63.25,2
2011,12,62563.046383092 ,69.4,53.6,61.5,2
2012,1,55979.715592629 ,69.8,53.4,61.6,2
2012,2,65714.604646294 ,65.9,50.6,58.25,1
2012,3,33255.591337311 ,68.8,53,60.9,0
2012,4,22751.672554587 ,69.6,53.3,61.45,1
2012,5,17988.037106453 ,71.4,54.1,62.75,0
2012,6,18397.887886645 ,71.5,55.5,63.5,1
2012,7,16536.889800423 ,72.6,56.2,64.4,0
2012,8,21227.329944558 ,74.5,57.2,65.85,0
2012,9,19099.655060599 ,72.2,56.5,64.4,1
2012,10,37562.883828419 ,73.2,57,65.1,1
2012,11,40987.127783034 ,71.8,54.7,63.25,2
2012,12,43208.840911321 ,70.5,54.6,62.55,2
2013,1,51390.425064005 ,68.6,52.8,60.7,2
2013,2,72860.158497100 ,68.8,50.3,59.55,1
2013,3,56879.131707517 ,67.7,51.3,59.5,0
2013,4,32026.540952858 ,67.6,51.9,59.75,1
2013,5,15884.975277068 ,71.1,56.3,63.7,0
2013,6,18412.195556620 ,70.2,54.8,62.5,1
2013,7,24250.458488404 ,74.4,57.9,66.15,0
2013,8,15713.854461416 ,74.9,57,65.95,0
2013,9,15948.442363295 ,75.6,58.2,66.9,1
2013,10,40768.683477051 ,73.2,58.1,65.65,1
2013,11,54082.942612419 ,62.2,49,55.6,2
