Year,Month,Visitors,Average high temperature,Average low temperature,Average temperature,extra vacation
2007,1,79875.824557343 ,80.9,68.8,74.85,2
2007,2,72554.845456658 ,80.2,66.7,73.45,1
2007,3,96372.045425348 ,80.5,67.9,74.2,0
2007,4,46924.627617874 ,83.6,69.7,76.65,1
2007,5,177949.509726251 ,85,71.6,78.3,0
2007,6,34830.335267082 ,87.3,74.1,80.7,1
2007,7,156661.946488533 ,88,75.2,81.6,0
2007,8,285536.417967888 ,88.3,75.8,82.05,0
2007,9,162637.601973827 ,88.2,74.9,81.55,1
2007,10,158119.757515774 ,86.3,74,80.15,1
2007,11,290511.955410879 ,82.7,70.5,76.6,2
2007,12,83764.558860285 ,80,71.1,75.55,2
2008,1,159814.569536424 ,79.5,67.6,73.55,2
2008,2,65802.902057932 ,81,68.4,74.7,1
2008,3,253641.858418033 ,83.8,70.7,77.25,0
2008,4,53898.062786805 ,83.7,70.7,77.2,1
2008,5,112172.502004568 ,85.5,72.9,79.2,0
2008,6,173785.632058083 ,86.8,74.1,80.45,1
2008,7,217194.559879108 ,88.9,75.5,82.2,0
2008,8,192326.156205318 ,88.4,74.8,81.6,0
2008,9,109875.881133379 ,87.4,73.5,80.45,1
2008,10,55473.314433625 ,85.6,73.7,79.65,1
2008,11,90916.291344608 ,83.2,71.3,77.25,2
2008,12,117419.762649134 ,83.2,71.3,77.25,2
2009,1,68033.778476041 ,66.9,52.7,59.8,2
2009,2,264235.018338962 ,66.9,51.4,59.15,1
2009,3,175818.385735758 ,66.7,52.2,59.45,0
2009,4,106592.393392240 ,68.2,53.5,60.85,1
2009,5,30367.346938776 ,70.2,56.7,63.45,0
2009,6,47005.013497879 ,73.9,51.8,62.85,1
2009,7,196246.992782678 ,74.5,58.8,66.65,0
2009,8,13274.368548126 ,76.2,58.9,67.55,0
2009,9,29330.905206438 ,75.6,58,66.8,1
2009,10,44292.058777395 ,75.1,59.8,67.45,1
2009,11,223134.448487712 ,72.5,56.1,64.3,2
2009,12,268599.141611581 ,70.1,53.7,61.9,2
2010,1,24682.511712658 ,69.2,54,61.6,2
2010,2,205089.035197708 ,68,51.7,59.85,1
2010,3,77347.360649686 ,69.1,52.6,60.85,0
2010,4,47467.992541952 ,69.7,53.4,61.55,1
2010,5,128680.354096316 ,71.6,55.4,63.5,0
2010,6,87002.559884710 ,73.3,56,64.65,1
2010,7,88829.931972789 ,74.2,56.5,65.35,0
2010,8,104693.018141836 ,74.3,56.7,65.5,0
