Year,Month,Visitors,Average high temperature,Average low temperature,Average temperature,extra vacation
2007,1,220999.253104565 ,80.9,68.8,74.85,2
2007,2,215508.673770463 ,80.2,66.7,73.45,1
2007,3,230057.494932166 ,80.5,67.9,74.2,0
2007,4,200749.846400974 ,83.6,69.7,76.65,1
2007,5,194114.598318270 ,85,71.6,78.3,0
2007,6,244923.670304144 ,87.3,74.1,80.7,1
2007,7,245822.789482227 ,88,75.2,81.6,0
2007,8,219839.872599572 ,88.3,75.8,82.05,0
2007,9,216397.588003026 ,88.2,74.9,81.55,1
2007,10,215730.879864238 ,86.3,74,80.15,1
2007,11,164684.464661001 ,82.7,70.5,76.6,2
2007,12,220705.053738552 ,80,71.1,75.55,2
2008,1,239733.454466347 ,79.5,67.6,73.55,2
2008,2,222349.593931499 ,81,68.4,74.7,1
2008,3,222111.858101419 ,83.8,70.7,77.25,0
2008,4,169010.243254507 ,83.7,70.7,77.2,1
2008,5,182892.996425897 ,85.5,72.9,79.2,0
2008,6,195513.457748405 ,86.8,74.1,80.45,1
2008,7,202716.237695459 ,88.9,75.5,82.2,0
2008,8,166084.820061215 ,88.4,74.8,81.6,0
2008,9,128651.032875532 ,87.4,73.5,80.45,1
2008,10,133965.072369735 ,85.6,73.7,79.65,1
2008,11,110073.248219690 ,83.2,71.3,77.25,2
2008,12,125307.391449538 ,83.2,71.3,77.25,2
2009,1,185268.934892995 ,66.9,52.7,59.8,2
2009,2,141206.623744099 ,66.9,51.4,59.15,1
2009,3,139632.868825979 ,66.7,52.2,59.45,0
2009,4,121868.432302275 ,68.2,53.5,60.85,1
2009,5,128652.001019454 ,70.2,56.7,63.45,0
2009,6,145422.247977254 ,73.9,51.8,62.85,1
2009,7,145655.375612758 ,74.5,58.8,66.65,0
2009,8,120452.885786713 ,76.2,58.9,67.55,0
2009,9,113679.237724994 ,75.6,58,66.8,1
2009,10,114384.127975810 ,75.1,59.8,67.45,1
2009,11,94937.123757587 ,72.5,56.1,64.3,2
2009,12,127642.207972039 ,70.1,53.7,61.9,2
2010,1,149602.736506432 ,69.2,54,61.6,2
2010,2,141176.058940514 ,68,51.7,59.85,1
2010,3,143190.673763535 ,69.1,52.6,60.85,0
2010,4,112184.512180561 ,69.7,53.4,61.55,1
2010,5,105735.636570245 ,71.6,55.4,63.5,0
2010,6,168293.421052632 ,73.3,56,64.65,1
2010,7,155369.194745979 ,74.2,56.5,65.35,0
2010,8,118000.000000000 ,74.3,56.7,65.5,0
2010,9,98170.764271769 ,74.3,56.7,65.5,1
2010,10,101775.211215227 ,74,57,65.5,1
2010,11,102600.000000000 ,72.1,55.9,64,2
2010,12,130178.414310774 ,70,55.4,62.7,2
2011,1,174997.559874166 ,67.8,53.1,60.45,2
2011,2,151348.472158517 ,68.2,54.7,61.45,1
2011,3,234589.248577687 ,69.8,54.5,62.15,0
2011,4,95831.910571084 ,69.7,55.3,62.5,1
2011,5,107325.762904209 ,71.5,56.6,64.05,0
2011,6,151748.934200654 ,72.1,56.4,64.25,1
2011,7,132374.579208009 ,73.6,56.5,65.05,0
2011,8,101378.011479024 ,74.6,57.1,65.85,0
2011,9,100555.661994883 ,74.2,56.7,65.45,1
2011,10,109548.582100706 ,72.9,56.2,64.55,1
2011,11,99882.629285363 ,71,55.5,63.25,2
2011,12,243625.506672669 ,69.4,53.6,61.5,2
2012,1,158159.022385609 ,69.8,53.4,61.6,2
2012,2,136488.175071635 ,65.9,50.6,58.25,1
2012,3,132916.753958119 ,68.8,53,60.9,0
2012,4,110667.391554412 ,69.6,53.3,61.45,1
2012,5,108412.808830816 ,71.4,54.1,62.75,0
2012,6,137396.331440355 ,71.5,55.5,63.5,1
2012,7,133146.835596651 ,72.6,56.2,64.4,0
2012,8,114916.124346703 ,74.5,57.2,65.85,0
2012,9,112541.078774215 ,72.2,56.5,64.4,1
2012,10,116951.040265985 ,73.2,57,65.1,1
2012,11,97429.072925041 ,71.8,54.7,63.25,2
2012,12,132754.808076570 ,70.5,54.6,62.55,2
2013,1,162754.975707413 ,68.6,52.8,60.7,2
2013,2,137078.594089617 ,68.8,50.3,59.55,1
2013,3,123012.178918143 ,67.7,51.3,59.5,0
2013,4,97128.986683635 ,67.6,51.9,59.75,1
2013,5,131871.014488272 ,71.1,56.3,63.7,0
2013,6,137048.376302755 ,70.2,54.8,62.5,1
2013,7,155328.426461677 ,74.4,57.9,66.15,0
2013,8,109279.084967601 ,74.9,57,65.95,0
2013,9,127343.396565580 ,75.6,58.2,66.9,1
2013,10,103419.455866297 ,73.2,58.1,65.65,1
2013,11,103648.037022426 ,62.2,49,55.6,2
2013,12,152621.948647915 ,63.4,49.7,56.55,2
2014,1,164650.228801121 ,67.4,52.7,60.05,2
2014,2,139682.310047023 ,69.3,55.4,62.35,1
2014,3,127764.864909142 ,68.9,54,61.45,0
2014,4,109446.689327226 ,70.6,54.3,62.45,1
2014,5,155613.506480422 ,71.1,56.3,63.7,0
2014,6,153398.503570082 ,71.3,54.4,62.85,1
2014,7,161289.802397583 ,75.2,58.4,66.8,0
2014,8,111512.857058950 ,76.4,58.4,67.4,0
2014,9,135443.563670441 ,65.6,51.6,58.6,1
2014,10,153785.623219268 ,74.2,59.4,66.8,1
2014,11,108632.049556765 ,71.9,56.5,64.2,2
2014,12,181145.271940592 ,67.9,51,59.45,2
2015,1,206458.769383323 ,62.9,48.2,55.55,2
2015,2,224838.854782004 ,68.8,53.9,61.35,1
2015,3,218149.569771661 ,68,52.5,60.25,0
2015,4,110214.397342038 ,72.2,55,63.6,1
2015,5,139585.325636701 ,65.6,51.5,58.55,0
2015,6,220958.727236432 ,73.1,55.5,64.3,1
2015,7,178657.421298596 ,75.5,60.3,67.9,0
2015,8,133249.731377521 ,77,62.9,69.95,0
2015,9,95806.584960444 ,73.4,60.4,66.9,1
2015,10,116484.304788618 ,75.3,59.5,67.4,1
2015,11,93447.618874258 ,71.6,56.2,63.9,2
2015,12,152329.426765450 ,50.1,38.7,44.4,2
