Year,Month,total_vistors,Average high temperature,Average low temperature,Average temperature,extra vacation
2007,1,652425.939273554 ,80.9,68.8,74.85,2
2007,2,628187.496953360 ,80.2,66.7,73.45,1
2007,3,753200.449113532 ,80.5,67.9,74.2,0
2007,4,607732.309166603 ,83.6,69.7,76.65,1
2007,5,597436.042524384 ,85,71.6,78.3,0
2007,6,652468.323262075 ,87.3,74.1,80.7,1
2007,7,747077.246427752 ,88,75.2,81.6,0
2007,8,827551.674828982 ,88.3,75.8,82.05,0
2007,9,603466.589970440 ,88.2,74.9,81.55,1
2007,10,729202.749639701 ,86.3,74,80.15,1
2007,11,627182.509418122 ,82.7,70.5,76.6,2
2007,12,890426.288983525 ,80,71.1,75.55,2
2008,1,742561.398734921 ,79.5,67.6,73.55,2
2008,2,750277.647126811 ,81,68.4,74.7,1
2008,3,691438.464235477 ,83.8,70.7,77.25,0
2008,4,542684.280237096 ,83.7,70.7,77.2,1
2008,5,600544.343501815 ,85.5,72.9,79.2,0
2008,6,604167.639748850 ,86.8,74.1,80.45,1
2008,7,512731.763540227 ,88.9,75.5,82.2,0
2008,8,654198.375992945 ,88.4,74.8,81.6,0
2008,9,456972.403613760 ,87.4,73.5,80.45,1
2008,10,514108.867519175 ,85.6,73.7,79.65,1
2008,11,377679.170213389 ,83.2,71.3,77.25,2
2008,12,440949.429804735 ,83.2,71.3,77.25,2
2009,1,495952.019827510 ,66.9,52.7,59.8,2
2009,2,421335.054474708 ,66.9,51.4,59.15,1
2009,3,421315.964199133 ,66.7,52.2,59.45,0
2009,4,408918.504659725 ,68.2,53.5,60.85,1
2009,5,369367.874680749 ,70.2,56.7,63.45,0
2009,6,358400.173000348 ,73.9,51.8,62.85,1
2009,7,463620.619766309 ,74.5,58.8,66.65,0
2009,8,363009.222567722 ,76.2,58.9,67.55,0
2009,9,353767.757922655 ,75.6,58,66.8,1
2009,10,367944.705227157 ,75.1,59.8,67.45,1
2009,11,357067.183334173 ,72.5,56.1,64.3,2
2009,12,453166.594769111 ,70.1,53.7,61.9,2
2010,1,434866.551157930 ,69.2,54,61.6,2
2010,2,423926.189769458 ,68,51.7,59.85,1
2010,3,419824.253002557 ,69.1,52.6,60.85,0
2010,4,355840.524820497 ,69.7,53.4,61.55,1
2010,5,374511.731644017 ,71.6,55.4,63.5,0
2010,6,395619.318996574 ,73.3,56,64.65,1
2010,7,479199.731656185 ,74.2,56.5,65.35,0
2010,8,386070.549276257 ,74.3,56.7,65.5,0
2010,9,424385.881041439 ,74.3,56.7,65.5,1
2010,10,441654.659869415 ,74,57,65.5,1
2010,11,364221.842816608 ,72.1,55.9,64,2
2010,12,470736.873081844 ,70,55.4,62.7,2
2011,1,474991.253156475 ,67.8,53.1,60.45,2
2011,2,448890.703157176 ,68.2,54.7,61.45,1
2011,3,778380.882619920 ,69.8,54.5,62.15,0
2011,4,396231.116954022 ,69.7,55.3,62.5,1
2011,5,361106.780198394 ,71.5,56.6,64.05,0
2011,6,453303.874987706 ,72.1,56.4,64.25,1
2011,7,449352.440632781 ,73.6,56.5,65.05,0
2011,8,383746.582848549 ,74.6,57.1,65.85,0
2011,9,362454.904309185 ,74.2,56.7,65.45,1
2011,10,431113.083828439 ,72.9,56.2,64.55,1
2011,11,391792.228496124 ,71,55.5,63.25,2
2011,12,593606.167384723 ,69.4,53.6,61.5,2
2012,1,499336.781918246 ,69.8,53.4,61.6,2
2012,2,461089.532163659 ,65.9,50.6,58.25,1
2012,3,436111.838624645 ,68.8,53,60.9,0
2012,4,484119.356479027 ,69.6,53.3,61.45,1
2012,5,429523.878507317 ,71.4,54.1,62.75,0
2012,6,416854.688060251 ,71.5,55.5,63.5,1
2012,7,468326.731589080 ,72.6,56.2,64.4,0
2012,8,403642.510390000 ,74.5,57.2,65.85,0
2012,9,412454.972266725 ,72.2,56.5,64.4,1
2012,10,410644.419338457 ,73.2,57,65.1,1
2012,11,406897.363472642 ,71.8,54.7,63.25,2
2012,12,503262.686986561 ,70.5,54.6,62.55,2
2013,1,526966.518788164 ,68.6,52.8,60.7,2
2013,2,420419.931714348 ,68.8,50.3,59.55,1
2013,3,433633.930597857 ,67.7,51.3,59.5,0
2013,4,445760.367953798 ,67.6,51.9,59.75,1
2013,5,431519.403723538 ,71.1,56.3,63.7,0
2013,6,459102.249269547 ,70.2,54.8,62.5,1
2013,7,479227.023537138 ,74.4,57.9,66.15,0
2013,8,374843.896621090 ,74.9,57,65.95,0
2013,9,496509.070962946 ,75.6,58.2,66.9,1
2013,10,450287.948473004 ,73.2,58.1,65.65,1
2013,11,435386.906532046 ,62.2,49,55.6,2
2013,12,562060.687123581 ,63.4,49.7,56.55,2
2014,1,514279.483205859 ,67.4,52.7,60.05,2
2014,2,474891.503918896 ,69.3,55.4,62.35,1
2014,3,482064.481312246 ,68.9,54,61.45,0
