Year,Month,Visitors,Average high temperature,Average low temperature,Average temperature,extra vacation
2007,1,262682.735576319 ,80.9,68.8,74.85,2
2007,2,227108.428658243 ,80.2,66.7,73.45,1
2007,3,229632.983917179 ,80.5,67.9,74.2,0
2007,4,172261.400834418 ,83.6,69.7,76.65,1
2007,5,98838.902433070 ,85,71.6,78.3,0
2007,6,80746.918187690 ,87.3,74.1,80.7,1
2007,7,107323.052304173 ,88,75.2,81.6,0
2007,8,124345.659354637 ,88.3,75.8,82.05,0
2007,9,97367.869936473 ,88.2,74.9,81.55,1
2007,10,130863.118180533 ,86.3,74,80.15,1
2007,11,196054.778883070 ,82.7,70.5,76.6,2
2007,12,252195.520321640 ,80,71.1,75.55,2
2008,1,254016.489026345 ,79.5,67.6,73.55,2
2008,2,246355.379633532 ,81,68.4,74.7,1
2008,3,248740.257365650 ,83.8,70.7,77.25,0
2008,4,176846.110180095 ,83.7,70.7,77.2,1
2008,5,127771.912560710 ,85.5,72.9,79.2,0
2008,6,93369.304338329 ,86.8,74.1,80.45,1
2008,7,121173.527499308 ,88.9,75.5,82.2,0
2008,8,120872.028681395 ,88.4,74.8,81.6,0
2008,9,84381.873048225 ,87.4,73.5,80.45,1
2008,10,119831.136673176 ,85.6,73.7,79.65,1
2008,11,147911.684252735 ,83.2,71.3,77.25,2
2008,12,209076.726300973 ,83.2,71.3,77.25,2
2009,1,199862.770862889 ,66.9,52.7,59.8,2
2009,2,192092.530033472 ,66.9,51.4,59.15,1
2009,3,178201.092139586 ,66.7,52.2,59.45,0
2009,4,167905.748536876 ,68.2,53.5,60.85,1
2009,5,93339.821147636 ,70.2,56.7,63.45,0
2009,6,75178.830339611 ,73.9,51.8,62.85,1
2009,7,104700.526680531 ,74.5,58.8,66.65,0
2009,8,112937.506427991 ,76.2,58.9,67.55,0
2009,9,79706.981543101 ,75.6,58,66.8,1
2009,10,115674.474748566 ,75.1,59.8,67.45,1
2009,11,151630.919036350 ,72.5,56.1,64.3,2
2009,12,217878.879225371 ,70.1,53.7,61.9,2
2010,1,242686.342720578 ,69.2,54,61.6,2
2010,2,229903.341003396 ,68,51.7,59.85,1
2010,3,227673.405312732 ,69.1,52.6,60.85,0
2010,4,173186.557885965 ,69.7,53.4,61.55,1
2010,5,103653.027884669 ,71.6,55.4,63.5,0
2010,6,77641.216884338 ,73.3,56,64.65,1
2010,7,114662.183269451 ,74.2,56.5,65.35,0
2010,8,132307.104560136 ,74.3,56.7,65.5,0
2010,9,88385.565866968 ,74.3,56.7,65.5,1
2010,10,129250.950394902 ,74,57,65.5,1
2010,11,173649.252634643 ,72.1,55.9,64,2
2010,12,261723.345215397 ,70,55.4,62.7,2
2011,1,251706.864085181 ,67.8,53.1,60.45,2
2011,2,251012.787022367 ,68.2,54.7,61.45,1
2011,3,281921.089822019 ,69.8,54.5,62.15,0
2011,4,202634.601394025 ,69.7,55.3,62.5,1
2011,5,135408.157868603 ,71.5,56.6,64.05,0
2011,6,95070.628013001 ,72.1,56.4,64.25,1
2011,7,146829.344787546 ,73.6,56.5,65.05,0
2011,8,159328.169931160 ,74.6,57.1,65.85,0
2011,9,111198.554228135 ,74.2,56.7,65.45,1
2011,10,146022.439533560 ,72.9,56.2,64.55,1
2011,11,180344.805221924 ,71,55.5,63.25,2
2011,12,271349.095444198 ,69.4,53.6,61.5,2
2012,1,260476.952443658 ,69.8,53.4,61.6,2
2012,2,261158.933086714 ,65.9,50.6,58.25,1
2012,3,266009.853665514 ,68.8,53,60.9,0
2012,4,186446.951654384 ,69.6,53.3,61.45,1
2012,5,114612.921773416 ,71.4,54.1,62.75,0
2012,6,82115.093345789 ,71.5,55.5,63.5,1
2012,7,125940.371659818 ,72.6,56.2,64.4,0
2012,8,139535.157619438 ,74.5,57.2,65.85,0
2012,9,92742.192158092 ,72.2,56.5,64.4,1
2012,10,126864.145389388 ,73.2,57,65.1,1
2012,11,171627.510854061 ,71.8,54.7,63.25,2
2012,12,266269.254288172 ,70.5,54.6,62.55,2
2013,1,272793.060231412 ,68.6,52.8,60.7,2
2013,2,256457.099284483 ,68.8,50.3,59.55,1
2013,3,284676.728113186 ,67.7,51.3,59.5,0
2013,4,187854.262951730 ,67.6,51.9,59.75,1
2013,5,145170.793080858 ,71.1,56.3,63.7,0
2013,6,93800.404087602 ,70.2,54.8,62.5,1
2013,7,139813.939966025 ,74.4,57.9,66.15,0
2013,8,149804.915249288 ,74.9,57,65.95,0
2013,9,100770.793685393 ,75.6,58.2,66.9,1
2013,10,144006.220851484 ,73.2,58.1,65.65,1
2013,11,168620.918351952 ,62.2,49,55.6,2
2013,12,244514.617693936 ,63.4,49.7,56.55,2
2014,1,257804.675088252 ,67.4,52.7,60.05,2
2014,2,245188.957279677 ,69.3,55.4,62.35,1
2014,3,434173.760919322 ,68.9,54,61.45,0
2014,4,189922.095078413 ,70.6,54.3,62.45,1
2014,5,159174.767936836 ,71.1,56.3,63.7,0
2014,6,91862.219241679 ,71.3,54.4,62.85,1
2014,7,127145.855678615 ,75.2,58.4,66.8,0
2014,8,133157.571335066 ,76.4,58.4,67.4,0
2014,9,95473.811033878 ,65.6,51.6,58.6,1
2014,10,135456.450028737 ,74.2,59.4,66.8,1
2014,11,168729.235533542 ,71.9,56.5,64.2,2
2014,12,262329.225132778 ,67.9,51,59.45,2
2015,1,265958.606403640 ,62.9,48.2,55.55,2
2015,2,252353.137959593 ,68.8,53.9,61.35,1
2015,3,279127.018092768 ,68,52.5,60.25,0
2015,4,182186.034950395 ,72.2,55,63.6,1
2015,5,122852.772794812 ,65.6,51.5,58.55,0
2015,6,93628.750902251 ,73.1,55.5,64.3,1
2015,7,138822.610853648 ,75.5,60.3,67.9,0
2015,8,155449.728551562 ,77,62.9,69.95,0
2015,9,105748.986574694 ,73.4,60.4,66.9,1
2015,10,125368.314418964 ,75.3,59.5,67.4,1
2015,11,164457.775319890 ,71.6,56.2,63.9,2
2015,12,243090.865509762 ,50.1,38.7,44.4,2
