Year,Month,Visitors,Average high temperature,Average low temperature,Average temperature,extra vacation
2007,1,981301.342741365 ,80.9,68.8,74.85,2
2007,2,902367.310962493 ,80.2,66.7,73.45,1
2007,3,1095398.442688870 ,80.5,67.9,74.2,0
2007,4,866004.970048808 ,83.6,69.7,76.65,1
2007,5,892646.463733169 ,85,71.6,78.3,0
2007,6,981361.336944628 ,87.3,74.1,80.7,1
2007,7,1095814.235691990 ,88,75.2,81.6,0
2007,8,1321966.429851380 ,88.3,75.8,82.05,0
2007,9,1111160.543716480 ,88.2,74.9,81.55,1
2007,10,1012117.282282190 ,86.3,74,80.15,1
2007,11,1009363.056329090 ,82.7,70.5,76.6,2
2007,12,1125386.272146080 ,80,71.1,75.55,2
2008,1,977325.651731167 ,79.5,67.6,73.55,2
2008,2,930261.849181024 ,81,68.4,74.7,1
2008,3,1032412.422441640 ,83.8,70.7,77.25,0
2008,4,755705.227736558 ,83.7,70.7,77.2,1
2008,5,913134.211549170 ,85.5,72.9,79.2,0
2008,6,884961.318449533 ,86.8,74.1,80.45,1
2008,7,998326.062177039 ,88.9,75.5,82.2,0
2008,8,1154693.382670140 ,88.4,74.8,81.6,0
2008,9,905296.037937845 ,87.4,73.5,80.45,1
2008,10,917535.804997474 ,85.6,73.7,79.65,1
2008,11,823812.581520293 ,83.2,71.3,77.25,2
2008,12,980944.783035967 ,83.2,71.3,77.25,2
2009,1,904873.379412215 ,66.9,52.7,59.8,2
2009,2,941252.303525996 ,66.9,51.4,59.15,1
2009,3,1044893.683677590 ,66.7,52.2,59.45,0
2009,4,865904.026596228 ,68.2,53.5,60.85,1
2009,5,787668.064848994 ,70.2,56.7,63.45,0
2009,6,636838.526939071 ,73.9,51.8,62.85,1
2009,7,939583.955439246 ,74.5,58.8,66.65,0
2009,8,1116401.250947890 ,76.2,58.9,67.55,0
2009,9,1120511.440435870 ,75.6,58,66.8,1
2009,10,1000755.717081950 ,75.1,59.8,67.45,1
2009,11,938052.423446124 ,72.5,56.1,64.3,2
2009,12,1025527.981559580 ,70.1,53.7,61.9,2
2010,1,878192.036428093 ,69.2,54,61.6,2
2010,2,930583.814461659 ,68,51.7,59.85,1
2010,3,1078566.754206970 ,69.1,52.6,60.85,0
2010,4,787068.560906218 ,69.7,53.4,61.55,1
2010,5,914033.018707744 ,71.6,55.4,63.5,0
2010,6,976425.003721296 ,73.3,56,64.65,1
2010,7,1071344.243097250 ,74.2,56.5,65.35,0
2010,8,1170780.725005260 ,74.3,56.7,65.5,0
2010,9,1096616.487475050 ,74.3,56.7,65.5,1
2010,10,990241.554985453 ,74,57,65.5,1
2010,11,888161.964995995 ,72.1,55.9,64,2
2010,12,1071661.564659980 ,70,55.4,62.7,2
2011,1,1009344.034384080 ,67.8,53.1,60.45,2
2011,2,1004178.948396620 ,68.2,54.7,61.45,1
2011,3,903975.516199040 ,69.8,54.5,62.15,0
2011,4,673191.664845056 ,69.7,55.3,62.5,1
2011,5,743017.065481155 ,71.5,56.6,64.05,0
2011,6,924191.995167812 ,72.1,56.4,64.25,1
2011,7,1070012.449881790 ,73.6,56.5,65.05,0
2011,8,1304399.197020260 ,74.6,57.1,65.85,0
2011,9,1173244.863505690 ,74.2,56.7,65.45,1
2011,10,1059142.273851660 ,72.9,56.2,64.55,1
2011,11,968955.544105568 ,71,55.5,63.25,2
2011,12,1100127.828605670 ,69.4,53.6,61.5,2
2012,1,1049238.980232580 ,69.8,53.4,61.6,2
2012,2,1105894.712578140 ,65.9,50.6,58.25,1
2012,3,1179101.811850830 ,68.8,53,60.9,0
2012,4,917304.394462552 ,69.6,53.3,61.45,1
2012,5,1029796.912730980 ,71.4,54.1,62.75,0
2012,6,1136148.529458570 ,71.5,55.5,63.5,1
2012,7,1258460.659318380 ,72.6,56.2,64.4,0
2012,8,1499262.864460420 ,74.5,57.2,65.85,0
2012,9,1276469.753709650 ,72.2,56.5,64.4,1
2012,10,1232026.768282440 ,73.2,57,65.1,1
2012,11,1167575.536428500 ,71.8,54.7,63.25,2
2012,12,1245925.517653700 ,70.5,54.6,62.55,2
2013,1,1112636.025279320 ,68.6,52.8,60.7,2
2013,2,1199649.073771820 ,68.8,50.3,59.55,1
2013,3,1307497.544728400 ,67.7,51.3,59.5,0
2013,4,943632.487978679 ,67.6,51.9,59.75,1
2013,5,1052494.878757280 ,71.1,56.3,63.7,0
2013,6,1127492.608429010 ,70.2,54.8,62.5,1
2013,7,1228518.683881590 ,74.4,57.9,66.15,0
2013,8,1534777.265189500 ,74.9,57,65.95,0
2013,9,1270698.306590920 ,75.6,58.2,66.9,1
2013,10,1338385.549118780 ,73.2,58.1,65.65,1
2013,11,1178181.526632110 ,62.2,49,55.6,2
2013,12,1288081.885113060 ,63.4,49.7,56.55,2
2014,1,1226928.582055210 ,67.4,52.7,60.05,2
2014,2,1171520.172354760 ,69.3,55.4,62.35,1
2014,3,1271497.944252930 ,68.9,54,61.45,0
2014,4,963600.403240087 ,70.6,54.3,62.45,1
2014,5,1111912.392001540 ,71.1,56.3,63.7,0
2014,6,1231120.000000000 ,71.3,54.4,62.85,1
2014,7,1268059.199524100 ,75.2,58.4,66.8,0
2014,8,1439438.330271600 ,76.4,58.4,67.4,0
2014,9,1314684.905548820 ,65.6,51.6,58.6,1
2014,10,1306334.974274790 ,74.2,59.4,66.8,1
2014,11,1196493.462336200 ,71.9,56.5,64.2,2
2014,12,1251498.074731570 ,67.9,51,59.45,2
2015,1,1081167.300353780 ,62.9,48.2,55.55,2
2015,2,1183456.773041290 ,68.8,53.9,61.35,1
2015,3,1241642.494394670 ,68,52.5,60.25,0
2015,4,962013.105490113 ,72.2,55,63.6,1
2015,5,1099829.418204880 ,65.6,51.5,58.55,0
2015,6,1157670.482539140 ,73.1,55.5,64.3,1
2015,7,1280954.481785620 ,75.5,60.3,67.9,0
2015,8,1510462.604479700 ,77,62.9,69.95,0
2015,9,1318220.778998010 ,73.4,60.4,66.9,1
2015,10,1314180.000000000 ,75.3,59.5,67.4,1
2015,11,1193099.968900560 ,71.6,56.2,63.9,2
2015,12,1261793.624410580 ,50.1,38.7,44.4,2
