Year,Month,Visitors,Average high temperature,Average low temperature,Average temperature,extra vacation
2007,1,932369.129608717 ,80.9,68.8,74.85,2
2007,2,954340.065351220 ,80.2,66.7,73.45,1
2007,3,1117158.538291900 ,80.5,67.9,74.2,0
2007,4,887304.349747049 ,83.6,69.7,76.65,1
2007,5,1005559.747642810 ,85,71.6,78.3,0
2007,6,1242106.969279440 ,87.3,74.1,80.7,1
2007,7,1173335.485862890 ,88,75.2,81.6,0
2007,8,1022517.887496080 ,88.3,75.8,82.05,0
2007,9,910494.895722442 ,88.2,74.9,81.55,1
2007,10,850746.270365622 ,86.3,74,80.15,1
2007,11,775326.012435989 ,82.7,70.5,76.6,2
2007,12,913889.886212670 ,80,71.1,75.55,2
2008,1,927536.462682136 ,79.5,67.6,73.55,2
2008,2,979909.524529920 ,81,68.4,74.7,1
2008,3,1013430.184427590 ,83.8,70.7,77.25,0
2008,4,824103.463133295 ,83.7,70.7,77.2,1
2008,5,920294.687171668 ,85.5,72.9,79.2,0
2008,6,1017222.061826930 ,86.8,74.1,80.45,1
2008,7,1021584.743849460 ,88.9,75.5,82.2,0
2008,8,806280.952280495 ,88.4,74.8,81.6,0
2008,9,624571.274449953 ,87.4,73.5,80.45,1
2008,10,715243.635863443 ,85.6,73.7,79.65,1
2008,11,665317.994789857 ,83.2,71.3,77.25,2
2008,12,782290.963842593 ,83.2,71.3,77.25,2
2009,1,761886.253955686 ,66.9,52.7,59.8,2
2009,2,808811.674002379 ,66.9,51.4,59.15,1
2009,3,786421.909364883 ,66.7,52.2,59.45,0
2009,4,779403.835186594 ,68.2,53.5,60.85,1
2009,5,860781.933301412 ,70.2,56.7,63.45,0
2009,6,979023.042898666 ,73.9,51.8,62.85,1
2009,7,1001811.689579130 ,74.5,58.8,66.65,0
2009,8,799365.400322941 ,76.2,58.9,67.55,0
2009,9,710924.273032434 ,75.6,58,66.8,1
2009,10,693716.271157381 ,75.1,59.8,67.45,1
2009,11,625230.347205930 ,72.5,56.1,64.3,2
2009,12,802470.758927680 ,70.1,53.7,61.9,2
2010,1,734010.259052023 ,69.2,54,61.6,2
2010,2,709174.386680397 ,68,51.7,59.85,1
2010,3,854640.226296954 ,69.1,52.6,60.85,0
2010,4,719712.747682736 ,69.7,53.4,61.55,1
2010,5,808363.880488925 ,71.6,55.4,63.5,0
2010,6,1005526.578947370 ,73.3,56,64.65,1
2010,7,1102808.554636760 ,74.2,56.5,65.35,0
2010,8,810570.099009901 ,74.3,56.7,65.5,0
2010,9,674454.376289767 ,74.3,56.7,65.5,1
2010,10,710019.314553041 ,74,57,65.5,1
2010,11,679484.782608696 ,72.1,55.9,64,2
2010,12,871798.635372479 ,70,55.4,62.7,2
2011,1,809737.247452280 ,67.8,53.1,60.45,2
2011,2,791369.106689740 ,68.2,54.7,61.45,1
2011,3,889226.005987438 ,69.8,54.5,62.15,0
2011,4,730003.681324423 ,69.7,55.3,62.5,1
2011,5,823565.035638160 ,71.5,56.6,64.05,0
2011,6,978878.114161244 ,72.1,56.4,64.25,1
2011,7,989217.357246527 ,73.6,56.5,65.05,0
2011,8,799671.621385844 ,74.6,57.1,65.85,0
2011,9,673414.246874075 ,74.2,56.7,65.45,1
2011,10,734065.581993910 ,72.9,56.2,64.55,1
2011,11,665858.737805780 ,71,55.5,63.25,2
2011,12,878038.768163512 ,69.4,53.6,61.5,2
2012,1,852000.449346048 ,69.8,53.4,61.6,2
2012,2,787688.068619128 ,65.9,50.6,58.25,1
2012,3,905787.525045272 ,68.8,53,60.9,0
2012,4,726962.587695265 ,69.6,53.3,61.45,1
2012,5,896101.775051150 ,71.4,54.1,62.75,0
2012,6,1102623.220359580 ,71.5,55.5,63.5,1
2012,7,1053483.185224490 ,72.6,56.2,64.4,0
2012,8,873514.488948583 ,74.5,57.2,65.85,0
2012,9,666177.658610648 ,72.2,56.5,64.4,1
2012,10,682957.891628620 ,73.2,57,65.1,1
2012,11,719717.313562960 ,71.8,54.7,63.25,2
2012,12,889716.755311912 ,70.5,54.6,62.55,2
2013,1,871511.065321508 ,68.6,52.8,60.7,2
2013,2,788448.839100422 ,68.8,50.3,59.55,1
2013,3,907880.695260968 ,67.7,51.3,59.5,0
2013,4,765958.531444858 ,67.6,51.9,59.75,1
2013,5,882002.607445319 ,71.1,56.3,63.7,0
2013,6,1046772.668079630 ,70.2,54.8,62.5,1
2013,7,1126124.751000840 ,74.4,57.9,66.15,0
2013,8,886888.961400627 ,74.9,57,65.95,0
2013,9,660198.320700591 ,75.6,58.2,66.9,1
2013,10,679738.164145514 ,73.2,58.1,65.65,1
2013,11,671576.452148882 ,62.2,49,55.6,2
2013,12,864666.980389781 ,63.4,49.7,56.55,2
2014,1,819517.491188161 ,67.4,52.7,60.05,2
2014,2,814909.895589041 ,69.3,55.4,62.35,1
2014,3,933364.148658640 ,68.9,54,61.45,0
2014,4,744416.542193298 ,70.6,54.3,62.45,1
2014,5,879137.024730929 ,71.1,56.3,63.7,0
2014,6,1041431.955666520 ,71.3,54.4,62.85,1
2014,7,1067600.614359030 ,75.2,58.4,66.8,0
2014,8,874095.907023983 ,76.4,58.4,67.4,0
2014,9,683066.492790331 ,65.6,51.6,58.6,1
2014,10,733279.129401686 ,74.2,59.4,66.8,1
2014,11,650135.966477993 ,71.9,56.5,64.2,2
2014,12,938425.752243846 ,67.9,51,59.45,2
2015,1,780015.990606457 ,62.9,48.2,55.55,2
2015,2,748959.709455605 ,68.8,53.9,61.35,1
2015,3,950556.824580723 ,68,52.5,60.25,0
2015,4,766916.071336676 ,72.2,55,63.6,1
2015,5,925018.419299679 ,65.6,51.5,58.55,0
2015,6,1153001.845577840 ,73.1,55.5,64.3,1
2015,7,1156579.593375740 ,75.5,60.3,67.9,0
2015,8,897926.163982200 ,77,62.9,69.95,0
2015,9,666389.058613706 ,73.4,60.4,66.9,1
2015,10,809119.527012713 ,75.3,59.5,67.4,1
2015,11,738815.649616820 ,71.6,56.2,63.9,2
2015,12,989108.822853289 ,50.1,38.7,44.4,2
