Year,Month,Visitors,Average high temperature,Average low temperature,Average temperature,extra vacation
2007,1,99100.606111913 ,80.9,68.8,74.85,2
2007,2,105206.566963657 ,80.2,66.7,73.45,1
2007,3,121684.353947489 ,80.5,67.9,74.2,0
2007,4,128755.445675046 ,83.6,69.7,76.65,1
2007,5,123821.702109045 ,85,71.6,78.3,0
2007,6,139099.312662325 ,87.3,74.1,80.7,1
2007,7,149441.692836203 ,88,75.2,81.6,0
2007,8,160439.793856523 ,88.3,75.8,82.05,0
2007,9,104077.167131649 ,88.2,74.9,81.55,1
2007,10,113449.737351463 ,86.3,74,80.15,1
2007,11,118541.868387283 ,82.7,70.5,76.6,2
2007,12,132747.318335760 ,80,71.1,75.55,2
2008,1,101100.141567613 ,79.5,67.6,73.55,2
2008,2,105642.851339449 ,81,68.4,74.7,1
2008,3,118530.925398402 ,83.8,70.7,77.25,0
2008,4,105803.822456051 ,83.7,70.7,77.2,1
2008,5,103524.743714615 ,85.5,72.9,79.2,0
2008,6,114349.046004681 ,86.8,74.1,80.45,1
2008,7,118790.950028080 ,88.9,75.5,82.2,0
2008,8,115088.244440282 ,88.4,74.8,81.6,0
2008,9,79422.204823954 ,87.4,73.5,80.45,1
2008,10,88898.453810245 ,85.6,73.7,79.65,1
2008,11,99661.307324803 ,83.2,71.3,77.25,2
2008,12,104023.038444140 ,83.2,71.3,77.25,2
2009,1,87361.770830483 ,66.9,52.7,59.8,2
2009,2,91062.919706602 ,66.9,51.4,59.15,1
2009,3,92026.565186823 ,66.7,52.2,59.45,0
2009,4,107236.874807553 ,68.2,53.5,60.85,1
2009,5,113766.587813121 ,70.2,56.7,63.45,0
2009,6,119506.340550707 ,73.9,51.8,62.85,1
2009,7,131599.949952663 ,74.5,58.8,66.65,0
2009,8,131419.397181779 ,76.2,58.9,67.55,0
2009,9,92776.525201514 ,75.6,58,66.8,1
2009,10,91621.708539780 ,75.1,59.8,67.45,1
2009,11,90404.915762367 ,72.5,56.1,64.3,2
2009,12,106233.870384648 ,70.1,53.7,61.9,2
2010,1,87620.980806682 ,69.2,54,61.6,2
2010,2,83195.562189455 ,68,51.7,59.85,1
2010,3,98239.157957070 ,69.1,52.6,60.85,0
2010,4,112351.602201308 ,69.7,53.4,61.55,1
2010,5,110145.425442402 ,71.6,55.4,63.5,0
2010,6,125873.000000000 ,73.3,56,64.65,1
2010,7,131806.345242668 ,74.2,56.5,65.35,0
2010,8,141026.214285714 ,74.3,56.7,65.5,0
2010,9,100901.315712118 ,74.3,56.7,65.5,1
2010,10,108356.105361965 ,74,57,65.5,1
2010,11,105258.000000000 ,72.1,55.9,64,2
2010,12,112858.025318335 ,70,55.4,62.7,2
2011,1,97517.408778815 ,67.8,53.1,60.45,2
2011,2,93740.950439122 ,68.2,54.7,61.45,1
2011,3,104541.672388069 ,69.8,54.5,62.15,0
2011,4,113263.648210161 ,69.7,55.3,62.5,1
2011,5,109671.945428272 ,71.5,56.6,64.05,0
2011,6,120761.751813951 ,72.1,56.4,64.25,1
2011,7,125981.436767427 ,73.6,56.5,65.05,0
2011,8,127972.555435489 ,74.6,57.1,65.85,0
2011,9,101052.145338010 ,74.2,56.7,65.45,1
2011,10,100333.454971489 ,72.9,56.2,64.55,1
2011,11,103720.757483086 ,71,55.5,63.25,2
2011,12,119947.301903797 ,69.4,53.6,61.5,2
2012,1,100927.360084779 ,69.8,53.4,61.6,2
2012,2,94741.793916027 ,65.9,50.6,58.25,1
2012,3,109456.860948346 ,68.8,53,60.9,0
2012,4,117091.442057242 ,69.6,53.3,61.45,1
2012,5,119428.426385681 ,71.4,54.1,62.75,0
2012,6,122901.149724311 ,71.5,55.5,63.5,1
2012,7,131995.788376191 ,72.6,56.2,64.4,0
2012,8,135842.505272193 ,74.5,57.2,65.85,0
2012,9,102980.991316277 ,72.2,56.5,64.4,1
2012,10,108273.746906570 ,73.2,57,65.1,1
2012,11,119318.023028612 ,71.8,54.7,63.25,2
2012,12,130362.535556418 ,70.5,54.6,62.55,2
2013,1,102842.235074470 ,68.6,52.8,60.7,2
2013,2,101663.645711061 ,68.8,50.3,59.55,1
2013,3,125615.730362187 ,67.7,51.3,59.5,0
2013,4,122488.252947161 ,67.6,51.9,59.75,1
2013,5,124046.945836214 ,71.1,56.3,63.7,0
2013,6,144969.049626651 ,70.2,54.8,62.5,1
2013,7,144763.333519426 ,74.4,57.9,66.15,0
2013,8,137559.463949028 ,74.9,57,65.95,0
2013,9,93809.112754512 ,75.6,58.2,66.9,1
2013,10,102159.880564549 ,73.2,58.1,65.65,1
2013,11,111399.173294414 ,62.2,49,55.6,2
2013,12,118070.219448057 ,63.4,49.7,56.55,2
2014,1,102085.724350274 ,67.4,52.7,60.05,2
2014,2,99568.214359863 ,69.3,55.4,62.35,1
2014,3,119522.788923796 ,68.9,54,61.45,0
2014,4,121230.735115574 ,70.6,54.3,62.45,1
2014,5,118627.989801291 ,71.1,56.3,63.7,0
2014,6,143740.270210063 ,71.3,54.4,62.85,1
2014,7,149503.951765435 ,75.2,58.4,66.8,0
2014,8,139738.282699986 ,76.4,58.4,67.4,0
2014,9,101427.000000000 ,65.6,51.6,58.6,1
2014,10,113933.684290726 ,74.2,59.4,66.8,1
2014,11,114740.701270641 ,71.9,56.5,64.2,2
2014,12,128291.112774978 ,67.9,51,59.45,2
2015,1,100589.498736771 ,62.9,48.2,55.55,2
2015,2,106372.504601438 ,68.8,53.9,61.35,1
2015,3,134084.045233534 ,68,52.5,60.25,0
2015,4,126260.515970329 ,72.2,55,63.6,1
2015,5,132475.353322485 ,65.6,51.5,58.55,0
2015,6,151954.890861868 ,73.1,55.5,64.3,1
2015,7,155000.760401082 ,75.5,60.3,67.9,0
2015,8,136696.333983676 ,77,62.9,69.95,0
2015,9,107770.537767816 ,73.4,60.4,66.9,1
2015,10,116832.000000000 ,75.3,59.5,67.4,1
2015,11,122343.506865247 ,71.6,56.2,63.9,2
2015,12,144022.403825603 ,50.1,38.7,44.4,2
