Year,Month,total_vistors,Average high temperature,Average low temperature,Average temperature,extra vacation
2007,1,359735.518311970 ,80.9,68.8,74.85,2
2007,2,355168.831095592 ,80.2,66.7,73.45,1
2007,3,407398.453220852 ,80.5,67.9,74.2,0
2007,4,367399.696363427 ,83.6,69.7,76.65,1
2007,5,368863.897268049 ,85,71.6,78.3,0
2007,6,420352.370878007 ,87.3,74.1,80.7,1
2007,7,444428.067985658 ,88,75.2,81.6,0
2007,8,462592.094388731 ,88.3,75.8,82.05,0
2007,9,370882.791534464 ,88.2,74.9,81.55,1
2007,10,361004.366249946 ,86.3,74,80.15,1
2007,11,362248.070504816 ,82.7,70.5,76.6,2
2007,12,414675.719470820 ,80,71.1,75.55,2
2008,1,362746.472711341 ,79.5,67.6,73.55,2
2008,2,364373.588908992 ,81,68.4,74.7,1
2008,3,394135.095582256 ,83.8,70.7,77.25,0
2008,4,329042.905004654 ,83.7,70.7,77.2,1
2008,5,349619.540214902 ,85.5,72.9,79.2,0
2008,6,362439.718671556 ,86.8,74.1,80.45,1
2008,7,391586.740400695 ,88.9,75.5,82.2,0
2008,8,379126.210917989 ,88.4,74.8,81.6,0
2008,9,294146.697448212 ,87.4,73.5,80.45,1
2008,10,316133.801478242 ,85.6,73.7,79.65,1
2008,11,305205.585207325 ,83.2,71.3,77.25,2
2008,12,345128.715706161 ,83.2,71.3,77.25,2
2009,1,318134.250204095 ,66.9,52.7,59.8,2
2009,2,314424.832395648 ,66.9,51.4,59.15,1
2009,3,326149.138191732 ,66.7,52.2,59.45,0
2009,4,329652.363861570 ,68.2,53.5,60.85,1
2009,5,325687.773936328 ,70.2,56.7,63.45,0
2009,6,329898.648634804 ,73.9,51.8,62.85,1
2009,7,388762.795945265 ,74.5,58.8,66.65,0
2009,8,385429.137884358 ,76.2,58.9,67.55,0
2009,9,327705.247990314 ,75.6,58,66.8,1
2009,10,316157.792582512 ,75.1,59.8,67.45,1
2009,11,302191.340654848 ,72.5,56.1,64.3,2
2009,12,360695.012235856 ,70.1,53.7,61.9,2
2010,1,318332.365662760 ,69.2,54,61.6,2
2010,2,311715.342429852 ,68,51.7,59.85,1
2010,3,357944.511150914 ,69.1,52.6,60.85,0
2010,4,325933.859282904 ,69.7,53.4,61.55,1
2010,5,343218.223732583 ,71.6,55.4,63.5,0
2010,6,375145.215973511 ,73.3,56,64.65,1
2010,7,422471.287040130 ,74.2,56.5,65.35,0
2010,8,406153.589624633 ,74.3,56.7,65.5,0
2010,9,345324.044308059 ,74.3,56.7,65.5,1
2010,10,348921.688250959 ,74,57,65.5,1
2010,11,328822.625049600 ,72.1,55.9,64,2
2010,12,389674.626506807 ,70,55.4,62.7,2
2011,1,358571.498174686 ,67.8,53.1,60.45,2
2011,2,347490.183269502 ,68.2,54.7,61.45,1
2011,3,357242.175443370 ,69.8,54.5,62.15,0
2011,4,328133.817682253 ,69.7,55.3,62.5,1
2011,5,344955.209365695 ,71.5,56.6,64.05,0
2011,6,372619.749932640 ,72.1,56.4,64.25,1
2011,7,407450.213155512 ,73.6,56.5,65.05,0
2011,8,410956.303614429 ,74.6,57.1,65.85,0
2011,9,358582.503795306 ,74.2,56.7,65.45,1
2011,10,358394.450254901 ,72.9,56.2,64.55,1
2011,11,343277.876555516 ,71,55.5,63.25,2
2011,12,413949.925478721 ,69.4,53.6,61.5,2
2012,1,390301.035589961 ,69.8,53.4,61.6,2
2012,2,366579.729307995 ,65.9,50.6,58.25,1
2012,3,405062.207735938 ,68.8,53,60.9,0
2012,4,371770.924150754 ,69.6,53.3,61.45,1
2012,5,396694.153842527 ,71.4,54.1,62.75,0
2012,6,427096.162610011 ,71.5,55.5,63.5,1
2012,7,459248.537184242 ,72.6,56.2,64.4,0
2012,8,466004.300185783 ,74.5,57.2,65.85,0
2012,9,388307.359714506 ,72.2,56.5,64.4,1
2012,10,390490.098588008 ,73.2,57,65.1,1
2012,11,394273.791606997 ,71.8,54.7,63.25,2
2012,12,448217.162451324 ,70.5,54.6,62.55,2
2013,1,395363.769819653 ,68.6,52.8,60.7,2
2013,2,386215.718199465 ,68.8,50.3,59.55,1
2013,3,434897.413352185 ,67.7,51.3,59.5,0
2013,4,386073.661442407 ,67.6,51.9,59.75,1
2013,5,410650.826077985 ,71.1,56.3,63.7,0
2013,6,449659.998620844 ,70.2,54.8,62.5,1
2013,7,486709.161302666 ,74.4,57.9,66.15,0
2013,8,480529.558630458 ,74.9,57,65.95,0
2013,9,392513.798156825 ,75.6,58.2,66.9,1
2013,10,402225.198889247 ,73.2,58.1,65.65,1
2013,11,381627.249372594 ,62.2,49,55.6,2
2013,12,437809.418624513 ,63.4,49.7,56.55,2
2014,1,413424.981772166 ,67.4,52.7,60.05,2
2014,2,389785.298577691 ,69.3,55.4,62.35,1
2014,3,434173.760919322 ,68.9,54,61.45,0
2014,4,388698.585273368 ,70.6,54.3,62.45,1
2014,5,414109.297881239 ,71.1,56.3,63.7,0
2014,6,465258.715564189 ,71.3,54.4,62.85,1
