Year,Month,Visitors,Average high temperature,Average low temperature,Average temperature,extra vacation,Island,Country
2007,1,115535.638,80.9,68.8,74.85,2,HawaiiIsland,Canada
2007,2,100557.6995,80.2,66.7,73.45,1,HawaiiIsland,Canada
2007,3,95819.4767,80.5,67.9,74.2,0,HawaiiIsland,Canada
2007,4,52189.87305,83.6,69.7,76.65,1,HawaiiIsland,Canada
2007,5,35086.82042,85,71.6,78.3,0,HawaiiIsland,Canada
2007,6,26549.11393,87.3,74.1,80.7,1,HawaiiIsland,Canada
2007,7,32061.7345,88,75.2,81.6,0,HawaiiIsland,Canada
2007,8,45759.36566,88.3,75.8,82.05,0,HawaiiIsland,Canada
2007,9,33578.44476,88.2,74.9,81.55,1,HawaiiIsland,Canada
2007,10,49379.97159,86.3,74,80.15,1,HawaiiIsland,Canada
2007,11,71148.8788,82.7,70.5,76.6,2,HawaiiIsland,Canada
2007,12,99489.11212,80,71.1,75.55,2,HawaiiIsland,Canada
2008,1,128355.8369,79.5,67.6,73.55,2,HawaiiIsland,Canada
2008,2,102351.4943,81,68.4,74.7,1,HawaiiIsland,Canada
2008,3,92430.23566,83.8,70.7,77.25,0,HawaiiIsland,Canada
2008,4,62235.13505,83.7,70.7,77.2,1,HawaiiIsland,Canada
2008,5,34983.71778,85.5,72.9,79.2,0,HawaiiIsland,Canada
2008,6,20176.20375,86.8,74.1,80.45,1,HawaiiIsland,Canada
2008,7,37818.23322,88.9,75.5,82.2,0,HawaiiIsland,Canada
2008,8,41187.78099,88.4,74.8,81.6,0,HawaiiIsland,Canada
2008,9,27021.60084,87.4,73.5,80.45,1,HawaiiIsland,Canada
2008,10,47568.78086,85.6,73.7,79.65,1,HawaiiIsland,Canada
2008,11,53328.38509,83.2,71.3,77.25,2,HawaiiIsland,Canada
2008,12,83147.44261,83.2,71.3,77.25,2,HawaiiIsland,Canada
2009,1,80612.68096,66.9,52.7,59.8,2,HawaiiIsland,Canada
2009,2,90106.63238,66.9,51.4,59.15,1,HawaiiIsland,Canada
2009,3,94260.66832,66.7,52.2,59.45,0,HawaiiIsland,Canada
2009,4,78458.9579,68.2,53.5,60.85,1,HawaiiIsland,Canada
2009,5,27109.52428,70.2,56.7,63.45,0,HawaiiIsland,Canada
2009,6,22234.3701,73.9,51.8,62.85,1,HawaiiIsland,Canada
2009,7,34739.5205,74.5,58.8,66.65,0,HawaiiIsland,Canada
2009,8,34395.20004,76.2,58.9,67.55,0,HawaiiIsland,Canada
2009,9,27316.2624,75.6,58,66.8,1,HawaiiIsland,Canada
2009,10,45205.80919,75.1,59.8,67.45,1,HawaiiIsland,Canada
2009,11,48691.64905,72.5,56.1,64.3,2,HawaiiIsland,Canada
2009,12,88088.4468,70.1,53.7,61.9,2,HawaiiIsland,Canada
2010,1,98526.66631,69.2,54,61.6,2,HawaiiIsland,Canada
2010,2,94881.38066,68,51.7,59.85,1,HawaiiIsland,Canada
2010,3,94709.10048,69.1,52.6,60.85,0,HawaiiIsland,Canada
2010,4,67928.55238,69.7,53.4,61.55,1,HawaiiIsland,Canada
2010,5,31986.74718,71.6,55.4,63.5,0,HawaiiIsland,Canada
2010,6,23207.25655,73.3,56,64.65,1,HawaiiIsland,Canada
2010,7,36564.80385,74.2,56.5,65.35,0,HawaiiIsland,Canada
2010,8,42895.8474,74.3,56.7,65.5,0,HawaiiIsland,Canada
2010,9,27070.65534,74.3,56.7,65.5,1,HawaiiIsland,Canada
2010,10,52033.63841,74,57,65.5,1,HawaiiIsland,Canada
2010,11,66699.61874,72.1,55.9,64,2,HawaiiIsland,Canada
2010,12,114870.1969,70,55.4,62.7,2,HawaiiIsland,Canada
2011,1,121196.4216,67.8,53.1,60.45,2,HawaiiIsland,Canada
2011,2,122440.5944,68.2,54.7,61.45,1,HawaiiIsland,Canada
2011,3,124448.5742,69.8,54.5,62.15,0,HawaiiIsland,Canada
2011,4,82017.89856,69.7,55.3,62.5,1,HawaiiIsland,Canada
2011,5,36920.35149,71.5,56.6,64.05,0,HawaiiIsland,Canada
2011,6,26005.06345,72.1,56.4,64.25,1,HawaiiIsland,Canada
2011,7,45224.10449,73.6,56.5,65.05,0,HawaiiIsland,Canada
2011,8,47038.29397,74.6,57.1,65.85,0,HawaiiIsland,Canada
2011,9,39082.11507,74.2,56.7,65.45,1,HawaiiIsland,Canada
2011,10,52288.4498,72.9,56.2,64.55,1,HawaiiIsland,Canada
2011,11,64181.64996,71,55.5,63.25,2,HawaiiIsland,Canada
2011,12,116187.5751,69.4,53.6,61.5,2,HawaiiIsland,Canada
2012,1,126654.743,69.8,53.4,61.6,2,HawaiiIsland,Canada
2012,2,138145.0581,65.9,50.6,58.25,1,HawaiiIsland,Canada
2012,3,126859.976,68.8,53,60.9,0,HawaiiIsland,Canada
2012,4,87254.71307,69.6,53.3,61.45,1,HawaiiIsland,Canada
2012,5,37838.93444,71.4,54.1,62.75,0,HawaiiIsland,Canada
2012,6,29703.83174,71.5,55.5,63.5,1,HawaiiIsland,Canada
2012,7,55799.25251,72.6,56.2,64.4,0,HawaiiIsland,Canada
2012,8,63690.82818,74.5,57.2,65.85,0,HawaiiIsland,Canada
2012,9,38378.34138,72.2,56.5,64.4,1,HawaiiIsland,Canada
2012,10,57624.7543,73.2,57,65.1,1,HawaiiIsland,Canada
2012,11,82026.80008,71.8,54.7,63.25,2,HawaiiIsland,Canada
2012,12,118760.3269,70.5,54.6,62.55,2,HawaiiIsland,Canada
2013,1,135635.7773,68.6,52.8,60.7,2,HawaiiIsland,Canada
2013,2,137804.8261,68.8,50.3,59.55,1,HawaiiIsland,Canada
2013,3,121058.4446,67.7,51.3,59.5,0,HawaiiIsland,Canada
2013,4,75324.90685,67.6,51.9,59.75,1,HawaiiIsland,Canada
2013,5,51392.30426,71.1,56.3,63.7,0,HawaiiIsland,Canada
2013,6,33134.81248,70.2,54.8,62.5,1,HawaiiIsland,Canada
2013,7,52445.13033,74.4,57.9,66.15,0,HawaiiIsland,Canada
2013,8,55146.78857,74.9,57,65.95,0,HawaiiIsland,Canada
2013,9,39347.13737,75.6,58.2,66.9,1,HawaiiIsland,Canada
2013,10,54004.63869,73.2,58.1,65.65,1,HawaiiIsland,Canada
2013,11,85831.4882,62.2,49,55.6,2,HawaiiIsland,Canada
2013,12,137041.6235,63.4,49.7,56.55,2,HawaiiIsland,Canada
2014,1,143107.3791,67.4,52.7,60.05,2,HawaiiIsland,Canada
2014,2,144447.5547,69.3,55.4,62.35,1,HawaiiIsland,Canada
2014,3,142769.5312,68.9,54,61.45,0,HawaiiIsland,Canada
2014,4,105278.2726,70.6,54.3,62.45,1,HawaiiIsland,Canada
2014,5,51581.58374,71.1,56.3,63.7,0,HawaiiIsland,Canada
2014,6,35693.91,71.3,54.4,62.85,1,HawaiiIsland,Canada
2014,7,57581.79011,75.2,58.4,66.8,0,HawaiiIsland,Canada
2014,8,56892.56455,76.4,58.4,67.4,0,HawaiiIsland,Canada
2014,9,41192.88816,65.6,51.6,58.6,1,HawaiiIsland,Canada
2014,10,59580.0793,74.2,59.4,66.8,1,HawaiiIsland,Canada
2014,11,85483.99995,71.9,56.5,64.2,2,HawaiiIsland,Canada
2014,12,136524.6307,67.9,51,59.45,2,HawaiiIsland,Canada
2015,1,151672.1596,62.9,48.2,55.55,2,HawaiiIsland,Canada
2015,2,138247.3969,68.8,53.9,61.35,1,HawaiiIsland,Canada
2015,3,161236.8084,68,52.5,60.25,0,HawaiiIsland,Canada
2015,4,85620.96154,72.2,55,63.6,1,HawaiiIsland,Canada
2015,5,48214.12864,65.6,51.5,58.55,0,HawaiiIsland,Canada
2015,6,41709.64257,73.1,55.5,64.3,1,HawaiiIsland,Canada
2015,7,60437.29536,75.5,60.3,67.9,0,HawaiiIsland,Canada
2015,8,62822.66738,77,62.9,69.95,0,HawaiiIsland,Canada
2015,9,43922.15893,73.4,60.4,66.9,1,HawaiiIsland,Canada
2015,10,60380.11141,75.3,59.5,67.4,1,HawaiiIsland,Canada
2015,11,72380.45177,71.6,56.2,63.9,2,HawaiiIsland,Canada
2015,12,115396.7894,50.1,38.7,44.4,2,HawaiiIsland,Canada
2007,1,165998.917,80.9,68.8,74.85,2,HawaiiIsland,Japan
2007,2,158890.3144,80.2,66.7,73.45,1,HawaiiIsland,Japan
2007,3,176458.7581,80.5,67.9,74.2,0,HawaiiIsland,Japan
2007,4,148281.7025,83.6,69.7,76.65,1,HawaiiIsland,Japan
2007,5,142660.4261,85,71.6,78.3,0,HawaiiIsland,Japan
2007,6,157050.0303,87.3,74.1,80.7,1,HawaiiIsland,Japan
2007,7,196375.9658,88,75.2,81.6,0,HawaiiIsland,Japan
2007,8,206593.4311,88.3,75.8,82.05,0,HawaiiIsland,Japan
2007,9,171216.0003,88.2,74.9,81.55,1,HawaiiIsland,Japan
2007,10,145832.8222,86.3,74,80.15,1,HawaiiIsland,Japan
2007,11,153698.5623,82.7,70.5,76.6,2,HawaiiIsland,Japan
2007,12,167109.6281,80,71.1,75.55,2,HawaiiIsland,Japan
2008,1,168294.749,79.5,67.6,73.55,2,HawaiiIsland,Japan
2008,2,140660.807,81,68.4,74.7,1,HawaiiIsland,Japan
2008,3,157571.5791,83.8,70.7,77.25,0,HawaiiIsland,Japan
2008,4,116371.2362,83.7,70.7,77.2,1,HawaiiIsland,Japan
2008,5,130904.0499,85.5,72.9,79.2,0,HawaiiIsland,Japan
2008,6,141022.7599,86.8,74.1,80.45,1,HawaiiIsland,Japan
2008,7,135823.1898,88.9,75.5,82.2,0,HawaiiIsland,Japan
2008,8,185219.7619,88.4,74.8,81.6,0,HawaiiIsland,Japan
2008,9,139114.2231,87.4,73.5,80.45,1,HawaiiIsland,Japan
2008,10,143391.1796,85.6,73.7,79.65,1,HawaiiIsland,Japan
2008,11,140166.0657,83.2,71.3,77.25,2,HawaiiIsland,Japan
2008,12,148472.7149,83.2,71.3,77.25,2,HawaiiIsland,Japan
2009,1,139960.9361,66.9,52.7,59.8,2,HawaiiIsland,Japan
2009,2,137123.4008,66.9,51.4,59.15,1,HawaiiIsland,Japan
2009,3,161945.6597,66.7,52.2,59.45,0,HawaiiIsland,Japan
2009,4,128810.4612,68.2,53.5,60.85,1,HawaiiIsland,Japan
2009,5,128527.6255,70.2,56.7,63.45,0,HawaiiIsland,Japan
2009,6,109445.3898,73.9,51.8,62.85,1,HawaiiIsland,Japan
2009,7,131270.5752,74.5,58.8,66.65,0,HawaiiIsland,Japan
2009,8,141380.2363,76.2,58.9,67.55,0,HawaiiIsland,Japan
2009,9,148118.3761,75.6,58,66.8,1,HawaiiIsland,Japan
2009,10,147484.6582,75.1,59.8,67.45,1,HawaiiIsland,Japan
2009,11,130906.9401,72.5,56.1,64.3,2,HawaiiIsland,Japan
2009,12,142478.7864,70.1,53.7,61.9,2,HawaiiIsland,Japan
2010,1,149953.3581,69.2,54,61.6,2,HawaiiIsland,Japan
2010,2,150102.3778,68,51.7,59.85,1,HawaiiIsland,Japan
2010,3,152060.3171,69.1,52.6,60.85,0,HawaiiIsland,Japan
2010,4,122847.9361,69.7,53.4,61.55,1,HawaiiIsland,Japan
2010,5,141872.1168,71.6,55.4,63.5,0,HawaiiIsland,Japan
2010,6,176244.3548,73.3,56,64.65,1,HawaiiIsland,Japan
2010,7,170905.3483,74.2,56.5,65.35,0,HawaiiIsland,Japan
2010,8,196481.7961,74.3,56.7,65.5,0,HawaiiIsland,Japan
2010,9,187763.6879,74.3,56.7,65.5,1,HawaiiIsland,Japan
2010,10,156092.7348,74,57,65.5,1,HawaiiIsland,Japan
2010,11,133134.3994,72.1,55.9,64,2,HawaiiIsland,Japan
2010,12,134901.0568,70,55.4,62.7,2,HawaiiIsland,Japan
2011,1,138495.2283,67.8,53.1,60.45,2,HawaiiIsland,Japan
2011,2,146732.953,68.2,54.7,61.45,1,HawaiiIsland,Japan
2011,3,136673.5241,69.8,54.5,62.15,0,HawaiiIsland,Japan
2011,4,75587.43566,69.7,55.3,62.5,1,HawaiiIsland,Japan
2011,5,109170.0613,71.5,56.6,64.05,0,HawaiiIsland,Japan
2011,6,123584.6789,72.1,56.4,64.25,1,HawaiiIsland,Japan
2011,7,150073.4593,73.6,56.5,65.05,0,HawaiiIsland,Japan
2011,8,187538.1647,74.6,57.1,65.85,0,HawaiiIsland,Japan
2011,9,172359.3447,74.2,56.7,65.45,1,HawaiiIsland,Japan
2011,10,134358.8361,72.9,56.2,64.55,1,HawaiiIsland,Japan
2011,11,133722.5637,71,55.5,63.25,2,HawaiiIsland,Japan
2011,12,144200.2684,69.4,53.6,61.5,2,HawaiiIsland,Japan
2012,1,156447.8184,69.8,53.4,61.6,2,HawaiiIsland,Japan
2012,2,164432.83,65.9,50.6,58.25,1,HawaiiIsland,Japan
2012,3,171931.1911,68.8,53,60.9,0,HawaiiIsland,Japan
2012,4,126614.4104,69.6,53.3,61.45,1,HawaiiIsland,Japan
2012,5,139032.1212,71.4,54.1,62.75,0,HawaiiIsland,Japan
2012,6,149092.6804,71.5,55.5,63.5,1,HawaiiIsland,Japan
2012,7,192363.8972,72.6,56.2,64.4,0,HawaiiIsland,Japan
2012,8,206545.6876,74.5,57.2,65.85,0,HawaiiIsland,Japan
2012,9,186397.9161,72.2,56.5,64.4,1,HawaiiIsland,Japan
2012,10,175304.028,73.2,57,65.1,1,HawaiiIsland,Japan
2012,11,192465.8942,71.8,54.7,63.25,2,HawaiiIsland,Japan
2012,12,169460.1184,70.5,54.6,62.55,2,HawaiiIsland,Japan
2013,1,164654.7033,68.6,52.8,60.7,2,HawaiiIsland,Japan
2013,2,180467.0774,68.8,50.3,59.55,1,HawaiiIsland,Japan
2013,3,166892.8012,67.7,51.3,59.5,0,HawaiiIsland,Japan
2013,4,135892.0107,67.6,51.9,59.75,1,HawaiiIsland,Japan
2013,5,143046.6438,71.1,56.3,63.7,0,HawaiiIsland,Japan
2013,6,194195.4223,70.2,54.8,62.5,1,HawaiiIsland,Japan
2013,7,193380.6225,74.4,57.9,66.15,0,HawaiiIsland,Japan
2013,8,228161.7842,74.9,57,65.95,0,HawaiiIsland,Japan
2013,9,182524.837,75.6,58.2,66.9,1,HawaiiIsland,Japan
2013,10,148612.8181,73.2,58.1,65.65,1,HawaiiIsland,Japan
2013,11,121855.7817,62.2,49,55.6,2,HawaiiIsland,Japan
2013,12,131490.0899,63.4,49.7,56.55,2,HawaiiIsland,Japan
2014,1,174664.7712,67.4,52.7,60.05,2,HawaiiIsland,Japan
2014,2,127099.8451,69.3,55.4,62.35,1,HawaiiIsland,Japan
2014,3,143448.6801,68.9,54,61.45,0,HawaiiIsland,Japan
2014,4,119339.7558,70.6,54.3,62.45,1,HawaiiIsland,Japan
2014,5,118743.1968,71.1,56.3,63.7,0,HawaiiIsland,Japan
2014,6,150710.5149,71.3,54.4,62.85,1,HawaiiIsland,Japan
2014,7,144906.887,75.2,58.4,66.8,0,HawaiiIsland,Japan
2014,8,174510.8112,76.4,58.4,67.4,0,HawaiiIsland,Japan
2014,9,144933.9513,65.6,51.6,58.6,1,HawaiiIsland,Japan
2014,10,152298.2643,74.2,59.4,66.8,1,HawaiiIsland,Japan
2014,11,125568.1663,71.9,56.5,64.2,2,HawaiiIsland,Japan
2014,12,138611.8478,67.9,51,59.45,2,HawaiiIsland,Japan
2015,1,113218.7437,62.9,48.2,55.55,2,HawaiiIsland,Japan
2015,2,113572.7169,68.8,53.9,61.35,1,HawaiiIsland,Japan
2015,3,115220.571,68,52.5,60.25,0,HawaiiIsland,Japan
2015,4,88050.52767,72.2,55,63.6,1,HawaiiIsland,Japan
2015,5,93659.2306,65.6,51.5,58.55,0,HawaiiIsland,Japan
2015,6,131875.276,73.1,55.5,64.3,1,HawaiiIsland,Japan
2015,7,140919.5471,75.5,60.3,67.9,0,HawaiiIsland,Japan
2015,8,139049.119,77,62.9,69.95,0,HawaiiIsland,Japan
2015,9,133666.9527,73.4,60.4,66.9,1,HawaiiIsland,Japan
2015,10,125183.7315,75.3,59.5,67.4,1,HawaiiIsland,Japan
2015,11,120762.5421,71.6,56.2,63.9,2,HawaiiIsland,Japan
2015,12,110026.417,50.1,38.7,44.4,2,HawaiiIsland,Japan
2007,1,454358.7993,80.9,68.8,74.85,2,HawaiiIsland,US_East
2007,2,438610.6169,80.2,66.7,73.45,1,HawaiiIsland,US_East
2007,3,541977.7917,80.5,67.9,74.2,0,HawaiiIsland,US_East
2007,4,384254.7311,83.6,69.7,76.65,1,HawaiiIsland,US_East
2007,5,419105.749,85,71.6,78.3,0,HawaiiIsland,US_East
2007,6,553637.2553,87.3,74.1,80.7,1,HawaiiIsland,US_East
2007,7,518652.2615,88,75.2,81.6,0,HawaiiIsland,US_East
2007,8,436454.3962,88.3,75.8,82.05,0,HawaiiIsland,US_East
2007,9,362867.8539,88.2,74.9,81.55,1,HawaiiIsland,US_East
2007,10,383207.2856,86.3,74,80.15,1,HawaiiIsland,US_East
2007,11,318566.5362,82.7,70.5,76.6,2,HawaiiIsland,US_East
2007,12,401960.5159,80,71.1,75.55,2,HawaiiIsland,US_East
2008,1,445038.5535,79.5,67.6,73.55,2,HawaiiIsland,US_East
2008,2,408363.4958,81,68.4,74.7,1,HawaiiIsland,US_East
2008,3,416206.7219,83.8,70.7,77.25,0,HawaiiIsland,US_East
2008,4,304105.1354,83.7,70.7,77.2,1,HawaiiIsland,US_East
2008,5,334853.2547,85.5,72.9,79.2,0,HawaiiIsland,US_East
2008,6,399626.9183,86.8,74.1,80.45,1,HawaiiIsland,US_East
2008,7,385090.5888,88.9,75.5,82.2,0,HawaiiIsland,US_East
2008,8,334420.8223,88.4,74.8,81.6,0,HawaiiIsland,US_East
2008,9,217328.9515,87.4,73.5,80.45,1,HawaiiIsland,US_East
2008,10,286824.41,85.6,73.7,79.65,1,HawaiiIsland,US_East
2008,11,216574.3096,83.2,71.3,77.25,2,HawaiiIsland,US_East
2008,12,280639.3576,83.2,71.3,77.25,2,HawaiiIsland,US_East
2009,1,314817.2351,66.9,52.7,59.8,2,HawaiiIsland,US_East
2009,2,309753.1269,66.9,51.4,59.15,1,HawaiiIsland,US_East
2009,3,291286.5402,66.7,52.2,59.45,0,HawaiiIsland,US_East
2009,4,323885.7819,68.2,53.5,60.85,1,HawaiiIsland,US_East
2009,5,274974.7148,70.2,56.7,63.45,0,HawaiiIsland,US_East
2009,6,357898.7473,73.9,51.8,62.85,1,HawaiiIsland,US_East
2009,7,374803.0554,74.5,58.8,66.65,0,HawaiiIsland,US_East
2009,8,311670.4789,76.2,58.9,67.55,0,HawaiiIsland,US_East
2009,9,233588.1505,75.6,58,66.8,1,HawaiiIsland,US_East
2009,10,251959.5862,75.1,59.8,67.45,1,HawaiiIsland,US_East
2009,11,197584.1513,72.5,56.1,64.3,2,HawaiiIsland,US_East
2009,12,285116.8418,70.1,53.7,61.9,2,HawaiiIsland,US_East
2010,1,302845.9302,69.2,54,61.6,2,HawaiiIsland,US_East
2010,2,291333.5984,68,51.7,59.85,1,HawaiiIsland,US_East
2010,3,306508.2285,69.1,52.6,60.85,0,HawaiiIsland,US_East
2010,4,290902.3063,69.7,53.4,61.55,1,HawaiiIsland,US_East
2010,5,266481.3473,71.6,55.4,63.5,0,HawaiiIsland,US_East
2010,6,368414.7368,73.3,56,64.65,1,HawaiiIsland,US_East
2010,7,415875.7849,74.2,56.5,65.35,0,HawaiiIsland,US_East
2010,8,293941.6832,74.3,56.7,65.5,0,HawaiiIsland,US_East
2010,9,221673.8702,74.3,56.7,65.5,1,HawaiiIsland,US_East
2010,10,267341.4592,74,57,65.5,1,HawaiiIsland,US_East
2010,11,206690,72.1,55.9,64,2,HawaiiIsland,US_East
2010,12,298640.509,70,55.4,62.7,2,HawaiiIsland,US_East
2011,1,345995.1171,67.8,53.1,60.45,2,HawaiiIsland,US_East
2011,2,322808.601,68.2,54.7,61.45,1,HawaiiIsland,US_East
2011,3,340622.1611,69.8,54.5,62.15,0,HawaiiIsland,US_East
2011,4,268497.1535,69.7,55.3,62.5,1,HawaiiIsland,US_East
2011,5,271237.7203,71.5,56.6,64.05,0,HawaiiIsland,US_East
2011,6,367275.3161,72.1,56.4,64.25,1,HawaiiIsland,US_East
2011,7,404589.7232,73.6,56.5,65.05,0,HawaiiIsland,US_East
2011,8,279824.1023,74.6,57.1,65.85,0,HawaiiIsland,US_East
2011,9,246013.7016,74.2,56.7,65.45,1,HawaiiIsland,US_East
2011,10,264702.4976,72.9,56.2,64.55,1,HawaiiIsland,US_East
2011,11,216808.172,71,55.5,63.25,2,HawaiiIsland,US_East
2011,12,333179.4635,69.4,53.6,61.5,2,HawaiiIsland,US_East
2012,1,345537.701,69.8,53.4,61.6,2,HawaiiIsland,US_East
2012,2,343331.656,65.9,50.6,58.25,1,HawaiiIsland,US_East
2012,3,348322.8616,68.8,53,60.9,0,HawaiiIsland,US_East
2012,4,262562.4565,69.6,53.3,61.45,1,HawaiiIsland,US_East
2012,5,290411.8892,71.4,54.1,62.75,0,HawaiiIsland,US_East
2012,6,391415.8905,71.5,55.5,63.5,1,HawaiiIsland,US_East
2012,7,381956.9311,72.6,56.2,64.4,0,HawaiiIsland,US_East
2012,8,339246.0921,74.5,57.2,65.85,0,HawaiiIsland,US_East
2012,9,231001.5094,72.2,56.5,64.4,1,HawaiiIsland,US_East
2012,10,285963.7264,73.2,57,65.1,1,HawaiiIsland,US_East
2012,11,248386.002,71.8,54.7,63.25,2,HawaiiIsland,US_East
2012,12,332087.0563,70.5,54.6,62.55,2,HawaiiIsland,US_East
2013,1,391593.9456,68.6,52.8,60.7,2,HawaiiIsland,US_East
2013,2,338853.7055,68.8,50.3,59.55,1,HawaiiIsland,US_East
2013,3,354965.7088,67.7,51.3,59.5,0,HawaiiIsland,US_East
2013,4,260926.9006,67.6,51.9,59.75,1,HawaiiIsland,US_East
2013,5,313124.9773,71.1,56.3,63.7,0,HawaiiIsland,US_East
2013,6,396686.0767,70.2,54.8,62.5,1,HawaiiIsland,US_East
2013,7,409062.7673,74.4,57.9,66.15,0,HawaiiIsland,US_East
2013,8,326709.0338,74.9,57,65.95,0,HawaiiIsland,US_East
2013,9,234056.1168,75.6,58.2,66.9,1,HawaiiIsland,US_East
2013,10,272424.0829,73.2,58.1,65.65,1,HawaiiIsland,US_East
2013,11,220275.879,62.2,49,55.6,2,HawaiiIsland,US_East
2013,12,318761.0593,63.4,49.7,56.55,2,HawaiiIsland,US_East
2014,1,350816.3854,67.4,52.7,60.05,2,HawaiiIsland,US_East
2014,2,337498.9083,69.3,55.4,62.35,1,HawaiiIsland,US_East
2014,3,360465.4985,68.9,54,61.45,0,HawaiiIsland,US_East
2014,4,275669.2906,70.6,54.3,62.45,1,HawaiiIsland,US_East
2014,5,320506.044,71.1,56.3,63.7,0,HawaiiIsland,US_East
2014,6,388176.6859,71.3,54.4,62.85,1,HawaiiIsland,US_East
2014,7,431684.1195,75.2,58.4,66.8,0,HawaiiIsland,US_East
2014,8,336070.9231,76.4,58.4,67.4,0,HawaiiIsland,US_East
2014,9,242302.8385,65.6,51.6,58.6,1,HawaiiIsland,US_East
2014,10,301261.1957,74.2,59.4,66.8,1,HawaiiIsland,US_East
2014,11,234452.9539,71.9,56.5,64.2,2,HawaiiIsland,US_East
2014,12,341194.4634,67.9,51,59.45,2,HawaiiIsland,US_East
2015,1,360608.2997,62.9,48.2,55.55,2,HawaiiIsland,US_East
2015,2,325281.5153,68.8,53.9,61.35,1,HawaiiIsland,US_East
2015,3,360041.6432,68,52.5,60.25,0,HawaiiIsland,US_East
2015,4,291791.9821,72.2,55,63.6,1,HawaiiIsland,US_East
2015,5,329523.9089,65.6,51.5,58.55,0,HawaiiIsland,US_East
2015,6,424119.6571,73.1,55.5,64.3,1,HawaiiIsland,US_East
2015,7,439880.0232,75.5,60.3,67.9,0,HawaiiIsland,US_East
2015,8,322830.3391,77,62.9,69.95,0,HawaiiIsland,US_East
2015,9,237151.7414,73.4,60.4,66.9,1,HawaiiIsland,US_East
2015,10,295373.4508,75.3,59.5,67.4,1,HawaiiIsland,US_East
2015,11,231149.0447,71.6,56.2,63.9,2,HawaiiIsland,US_East
2015,12,369529.258,50.1,38.7,44.4,2,HawaiiIsland,US_East
2007,1,499042.2929,80.9,68.8,74.85,2,HawaiiIsland,US_West
2007,2,518669.2865,80.2,66.7,73.45,1,HawaiiIsland,US_West
2007,3,611523.6867,80.5,67.9,74.2,0,HawaiiIsland,US_West
2007,4,590091.9718,83.6,69.7,76.65,1,HawaiiIsland,US_West
2007,5,487501.1308,85,71.6,78.3,0,HawaiiIsland,US_West
2007,6,622856.3736,87.3,74.1,80.7,1,HawaiiIsland,US_West
2007,7,658476.2604,88,75.2,81.6,0,HawaiiIsland,US_West
2007,8,714048.6918,88.3,75.8,82.05,0,HawaiiIsland,US_West
2007,9,445339.0029,88.2,74.9,81.55,1,HawaiiIsland,US_West
2007,10,486515.5982,86.3,74,80.15,1,HawaiiIsland,US_West
2007,11,520170.8073,82.7,70.5,76.6,2,HawaiiIsland,US_West
2007,12,624081.2632,80,71.1,75.55,2,HawaiiIsland,US_West
2008,1,495874.6936,79.5,67.6,73.55,2,HawaiiIsland,US_West
2008,2,479488.9455,81,68.4,74.7,1,HawaiiIsland,US_West
2008,3,552511.8221,83.8,70.7,77.25,0,HawaiiIsland,US_West
2008,4,447806.9159,83.7,70.7,77.2,1,HawaiiIsland,US_West
2008,5,409299.7959,85.5,72.9,79.2,0,HawaiiIsland,US_West
2008,6,449909.1892,86.8,74.1,80.45,1,HawaiiIsland,US_West
2008,7,465006.4189,88.9,75.5,82.2,0,HawaiiIsland,US_West
2008,8,468820.1338,88.4,74.8,81.6,0,HawaiiIsland,US_West
2008,9,290303.8669,87.4,73.5,80.45,1,HawaiiIsland,US_West
2008,10,363223.4229,85.6,73.7,79.65,1,HawaiiIsland,US_West
2008,11,411215.6201,83.2,71.3,77.25,2,HawaiiIsland,US_West
2008,12,428460.8931,83.2,71.3,77.25,2,HawaiiIsland,US_West
2009,1,396747.6564,66.9,52.7,59.8,2,HawaiiIsland,US_West
2009,2,406415.1934,66.9,51.4,59.15,1,HawaiiIsland,US_West
2009,3,427188.2893,66.7,52.2,59.45,0,HawaiiIsland,US_West
2009,4,419272.5433,68.2,53.5,60.85,1,HawaiiIsland,US_West
