Year,Month,total_vistors,Average high temperature,Average low temperature,Average temperature,extra vacation,Island
2007,1,195264.6077,80.9,68.8,74.85,2,Maui
2007,2,196700.1198,80.2,66.7,73.45,1,Maui
2007,3,227232.5152,80.5,67.9,74.2,0,Maui
2007,4,202215.7726,83.6,69.7,76.65,1,Maui
2007,5,198130.1536,85,71.6,78.3,0,Maui
2007,6,241790.4098,87.3,74.1,80.7,1,Maui
2007,7,247535.2439,88,75.2,81.6,0,Maui
2007,8,237113.2756,88.3,75.8,82.05,0,Maui
2007,9,186111.351,88.2,74.9,81.55,1,Maui
2007,10,190684.6165,86.3,74,80.15,1,Maui
2007,11,184472.8978,82.7,70.5,76.6,2,Maui
2007,12,214791.7465,80,71.1,75.55,2,Maui
2008,1,194482.4531,79.5,67.6,73.55,2,Maui
2008,2,195941.3899,81,68.4,74.7,1,Maui
2008,3,216018.8826,83.8,70.7,77.25,0,Maui
2008,4,174059.5173,83.7,70.7,77.2,1,Maui
2008,5,172325.3577,85.5,72.9,79.2,0,Maui
2008,6,188555.102,86.8,74.1,80.45,1,Maui
2008,7,192589.6082,88.9,75.5,82.2,0,Maui
2008,8,186655.1022,88.4,74.8,81.6,0,Maui
2008,9,136260.0729,87.4,73.5,80.45,1,Maui
2008,10,153451.8151,85.6,73.7,79.65,1,Maui
2008,11,146963.3467,83.2,71.3,77.25,2,Maui
2008,12,171739.905,83.2,71.3,77.25,2,Maui
2009,1,158992.3311,66.9,52.7,59.8,2,Maui
2009,2,155773.3077,66.9,51.4,59.15,1,Maui
2009,3,162328.8429,66.7,52.2,59.45,0,Maui
2009,4,159587.9297,68.2,53.5,60.85,1,Maui
2009,5,148624.7991,70.2,56.7,63.45,0,Maui
2009,6,179406.5366,73.9,51.8,62.85,1,Maui
2009,7,193016.7389,74.5,58.8,66.65,0,Maui
2009,8,180027.0271,76.2,58.9,67.55,0,Maui
2009,9,137880.905,75.6,58,66.8,1,Maui
2009,10,145918.0032,75.1,59.8,67.45,1,Maui
